year,month,actual,month-1,month-2,month-3,month-4,month-5,month-6,month-7,month-8,month-9,month-10,month-11,year-1,year-2,year-3
2003,1,100.1,99.8,99.5,99.1,99.1,99.1,99,99,98.8,98.8,99.1,99.2,99.3,100.5,100.1
2003,2,100.3,100.1,99.8,99.5,99.1,99.1,99.1,99,99,98.8,98.8,99.1,99.2,100.6,100
2003,3,100.6,100.3,100.1,99.8,99.5,99.1,99.1,99.1,99,99,98.8,98.8,99.1,100.7,99.9
2003,4,100.6,100.6,100.3,100.1,99.8,99.5,99.1,99.1,99.1,99,99,98.8,98.8,101.3,99.8
2003,5,100.4,100.6,100.6,100.3,100.1,99.8,99.5,99.1,99.1,99.1,99,99,98.8,101.4,100
2003,6,100.4,100.4,100.6,100.6,100.3,100.1,99.8,99.5,99.1,99.1,99.1,99,99,101.2,100.2
2003,7,100.4,100.4,100.4,100.6,100.6,100.3,100.1,99.8,99.5,99.1,99.1,99.1,99,100.8,100.2
2003,8,100.9,100.4,100.4,100.4,100.6,100.6,100.3,100.1,99.8,99.5,99.1,99.1,99.1,100.4,100
2003,9,101.6,100.9,100.4,100.4,100.4,100.6,100.6,100.3,100.1,99.8,99.5,99.1,99.1,100,100.2
2003,10,102,101.6,100.9,100.4,100.4,100.4,100.6,100.6,100.3,100.1,99.8,99.5,99.1,99.8,100.5
2003,11,102.4,102,101.6,100.9,100.4,100.4,100.4,100.6,100.6,100.3,100.1,99.8,99.5,99.5,100.8
2003,12,102.7,102.4,102,101.6,100.9,100.4,100.4,100.4,100.6,100.6,100.3,100.1,99.8,99.3,100.8
2004,1,102.6,102.7,102.4,102,101.6,100.9,100.4,100.4,100.4,100.6,100.6,100.3,100.1,99.3,100.5
2004,2,102.8,102.6,102.7,102.4,102,101.6,100.9,100.4,100.4,100.4,100.6,100.6,100.3,99.2,100.6
2004,3,103.1,102.8,102.6,102.7,102.4,102,101.6,100.9,100.4,100.4,100.4,100.6,100.6,99.1,100.7
2004,4,103.8,103.1,102.8,102.6,102.7,102.4,102,101.6,100.9,100.4,100.4,100.4,100.6,98.8,101.3
2004,5,104.4,103.8,103.1,102.8,102.6,102.7,102.4,102,101.6,100.9,100.4,100.4,100.4,98.8,101.4
2004,6,104.7,104.4,103.8,103.1,102.8,102.6,102.7,102.4,102,101.6,100.9,100.4,100.4,99,101.2
2004,7,105.1,104.7,104.4,103.8,103.1,102.8,102.6,102.7,102.4,102,101.6,100.9,100.4,99,100.8
2004,8,105,105.1,104.7,104.4,103.8,103.1,102.8,102.6,102.7,102.4,102,101.6,100.9,99.1,100.4
2004,9,104.2,105,105.1,104.7,104.4,103.8,103.1,102.8,102.6,102.7,102.4,102,101.6,99.1,100
2004,10,103.8,104.2,105,105.1,104.7,104.4,103.8,103.1,102.8,102.6,102.7,102.4,102,99.1,99.8
2004,11,103.2,103.8,104.2,105,105.1,104.7,104.4,103.8,103.1,102.8,102.6,102.7,102.4,99.5,99.5
2004,12,102.7,103.2,103.8,104.2,105,105.1,104.7,104.4,103.8,103.1,102.8,102.6,102.7,99.8,99.3
2005,1,102.8,102.7,103.2,103.8,104.2,105,105.1,104.7,104.4,103.8,103.1,102.8,102.6,100.1,99.3
2005,2,102.7,102.8,102.7,103.2,103.8,104.2,105,105.1,104.7,104.4,103.8,103.1,102.8,100.3,99.2
2005,3,102.9,102.7,102.8,102.7,103.2,103.8,104.2,105,105.1,104.7,104.4,103.8,103.1,100.6,99.1
2005,4,102.2,102.9,102.7,102.8,102.7,103.2,103.8,104.2,105,105.1,104.7,104.4,103.8,100.6,98.8
2005,5,101.7,102.2,102.9,102.7,102.8,102.7,103.2,103.8,104.2,105,105.1,104.7,104.4,100.4,98.8
2005,6,101.6,101.7,102.2,102.9,102.7,102.8,102.7,103.2,103.8,104.2,105,105.1,104.7,100.4,99
2005,7,101.4,101.6,101.7,102.2,102.9,102.7,102.8,102.7,103.2,103.8,104.2,105,105.1,100.4,99
2005,8,101.1,101.4,101.6,101.7,102.2,102.9,102.7,102.8,102.7,103.2,103.8,104.2,105,100.9,99.1
2005,9,101,101.1,101.4,101.6,101.7,102.2,102.9,102.7,102.8,102.7,103.2,103.8,104.2,101.6,99.1
2005,10,101,101,101.1,101.4,101.6,101.7,102.2,102.9,102.7,102.8,102.7,103.2,103.8,102,99.1
2005,11,101.3,101,101,101.1,101.4,101.6,101.7,102.2,102.9,102.7,102.8,102.7,103.2,102.4,99.5
2005,12,101.4,101.3,101,101,101.1,101.4,101.6,101.7,102.2,102.9,102.7,102.8,102.7,102.7,99.8
2006,1,101.9,101.4,101.3,101,101,101.1,101.4,101.6,101.7,102.2,102.9,102.7,102.8,102.6,100.1
2006,2,100.9,101.9,101.4,101.3,101,101,101.1,101.4,101.6,101.7,102.2,102.9,102.7,102.8,100.3
2006,3,100.8,100.9,101.9,101.4,101.3,101,101,101.1,101.4,101.6,101.7,102.2,102.9,103.1,100.6
2006,4,101.2,100.8,100.9,101.9,101.4,101.3,101,101,101.1,101.4,101.6,101.7,102.2,103.8,100.6
2006,5,101.4,101.2,100.8,100.9,101.9,101.4,101.3,101,101,101.1,101.4,101.6,101.7,104.4,100.4
2006,6,101.5,101.4,101.2,100.8,100.9,101.9,101.4,101.3,101,101,101.1,101.4,101.6,104.7,100.4
2006,7,101,101.5,101.4,101.2,100.8,100.9,101.9,101.4,101.3,101,101,101.1,101.4,105.1,100.4
2006,8,101.3,101,101.5,101.4,101.2,100.8,100.9,101.9,101.4,101.3,101,101,101.1,105,100.9
2006,9,101.5,101.3,101,101.5,101.4,101.2,100.8,100.9,101.9,101.4,101.3,101,101,104.2,101.6
2006,10,101.4,101.5,101.3,101,101.5,101.4,101.2,100.8,100.9,101.9,101.4,101.3,101,103.8,102
2006,11,101.9,101.4,101.5,101.3,101,101.5,101.4,101.2,100.8,100.9,101.9,101.4,101.3,103.2,102.4
2006,12,102.8,101.9,101.4,101.5,101.3,101,101.5,101.4,101.2,100.8,100.9,101.9,101.4,102.7,102.7
2007,1,102.2,102.8,101.9,101.4,101.5,101.3,101,101.5,101.4,101.2,100.8,100.9,101.9,102.8,102.6
2007,2,102.7,102.2,102.8,101.9,101.4,101.5,101.3,101,101.5,101.4,101.2,100.8,100.9,102.7,102.8
2007,3,103.3,102.7,102.2,102.8,101.9,101.4,101.5,101.3,101,101.5,101.4,101.2,100.8,102.9,103.1
2007,4,103,103.3,102.7,102.2,102.8,101.9,101.4,101.5,101.3,101,101.5,101.4,101.2,102.2,103.8
2007,5,103.4,103,103.3,102.7,102.2,102.8,101.9,101.4,101.5,101.3,101,101.5,101.4,101.7,104.4
2007,6,104.4,103.4,103,103.3,102.7,102.2,102.8,101.9,101.4,101.5,101.3,101,101.5,101.6,104.7
2007,7,105.6,104.4,103.4,103,103.3,102.7,102.2,102.8,101.9,101.4,101.5,101.3,101,101.4,105.1
2007,8,106.5,105.6,104.4,103.4,103,103.3,102.7,102.2,102.8,101.9,101.4,101.5,101.3,101.1,105
