year,month,month-19,month-17,month-15,month-13,month-11,month-9,month-7,month-5,month-3,month-1,actual
2001,8,99.8,99.8,100.1,100.5,100,101.3,100.9,99.4,99.5,99.5,100.1
2001,9,100.7,99.7,100.5,100.3,100,101.5,100.1,100.2,98.8,100.1,100.9
2001,10,99.8,100.1,100.5,100,101.3,100.9,99.4,99.5,99.5,100.9,100.3
2001,11,99.7,100.5,100.3,100,101.5,100.1,100.2,98.8,100.1,100.3,99.8
2001,12,100.1,100.5,100,101.3,100.9,99.4,99.5,99.5,100.9,99.8,100.1
2002,1,100.5,100.3,100,101.5,100.1,100.2,98.8,100.1,100.3,100.1,100.3
2002,2,100.5,100,101.3,100.9,99.4,99.5,99.5,100.9,99.8,100.3,101.1
2002,3,100.3,100,101.5,100.1,100.2,98.8,100.1,100.3,100.1,101.1,98.7
2002,4,100,101.3,100.9,99.4,99.5,99.5,100.9,99.8,100.3,98.7,99.7
2002,5,100,101.5,100.1,100.2,98.8,100.1,100.3,100.1,101.1,99.7,99.7
2002,6,101.3,100.9,99.4,99.5,99.5,100.9,99.8,100.3,98.7,99.7,99.1
2002,7,101.5,100.1,100.2,98.8,100.1,100.3,100.1,101.1,99.7,99.1,99.3
2002,8,100.9,99.4,99.5,99.5,100.9,99.8,100.3,98.7,99.7,99.3,100.3
2002,9,100.1,100.2,98.8,100.1,100.3,100.1,101.1,99.7,99.1,100.3,101
2002,10,99.4,99.5,99.5,100.9,99.8,100.3,98.7,99.7,99.3,101,100.2
2002,11,100.2,98.8,100.1,100.3,100.1,101.1,99.7,99.1,100.3,100.2,99.9
2002,12,99.5,99.5,100.9,99.8,100.3,98.7,99.7,99.3,101,99.9,100.3
2003,1,98.8,100.1,100.3,100.1,101.1,99.7,99.1,100.3,100.2,100.3,101.1
2003,2,99.5,100.9,99.8,100.3,98.7,99.7,99.3,101,99.9,101.1,100.9
2003,3,100.1,100.3,100.1,101.1,99.7,99.1,100.3,100.2,100.3,100.9,99.4
2003,4,100.9,99.8,100.3,98.7,99.7,99.3,101,99.9,101.1,99.4,99.8
2003,5,100.3,100.1,101.1,99.7,99.1,100.3,100.2,100.3,100.9,99.8,99.3
2003,6,99.8,100.3,98.7,99.7,99.3,101,99.9,101.1,99.4,99.3,98.8
2003,7,100.1,101.1,99.7,99.1,100.3,100.2,100.3,100.9,99.8,98.8,99.5
2003,8,100.3,98.7,99.7,99.3,101,99.9,101.1,99.4,99.3,99.5,100.7
2003,9,101.1,99.7,99.1,100.3,100.2,100.3,100.9,99.8,98.8,100.7,101.2
2003,10,98.7,99.7,99.3,101,99.9,101.1,99.4,99.3,99.5,101.2,100.9
2003,11,99.7,99.1,100.3,100.2,100.3,100.9,99.8,98.8,100.7,100.9,101
2003,12,99.7,99.3,101,99.9,101.1,99.4,99.3,99.5,101.2,101,100.6
2004,1,99.1,100.3,100.2,100.3,100.9,99.8,98.8,100.7,100.9,100.6,101.1
2004,2,99.3,101,99.9,101.1,99.4,99.3,99.5,101.2,101,101.1,99.8
2004,3,100.3,100.2,100.3,100.9,99.8,98.8,100.7,100.9,100.6,99.8,100.3
