date,cpi_mom
2016-07,100.2
2016-08,100.1
2016-09,100.7
2016-10,99.9
2016-11,100.1
2016-12,100.2
2017-01,101.0
2017-02,99.8
2017-03,99.7
2017-04,100.1
2017-05,99.9
2017-06,99.8
2017-07,100.1
2017-08,100.4
2017-09,100.5
2017-10,100.1
2017-11,100.0
2017-12,100.3
2018-01,100.6
2018-02,101.2
2018-03,98.9
2018-04,99.8
2018-05,99.8
2018-06,99.9
2018-07,100.3
2018-08,100.7
2018-09,100.7
2018-10,100.2
2018-11,99.7
2018-12,100.0
2019-01,100.5
2019-02,101.0
2019-03,99.6
2019-04,100.1
2019-05,100.0
2019-06,99.9
2019-07,100.4
2019-08,100.7
2019-09,100.9
2019-10,100.9
2019-11,100.4
2019-12,100.0
2020-01,101.4
2020-02,100.8
2020-03,98.8
2020-04,99.1
2020-05,99.2
2020-06,99.9
2020-07,100.6
2020-08,100.4
2020-09,100.2
2020-10,99.7
2020-11,99.4
2020-12,100.7
2021-01,101.0
2021-02,100.6
2021-03,99.5
2021-04,99.7
2021-05,99.8
2021-06,99.6
2021-07,100.3
2021-08,100.1
2021-09,100.0
2021-10,100.7
2021-11,100.4
2021-12,99.7
2022-01,100.4
2022-02,100.6
2022-03,100.0
2022-04,100.4
2022-05,99.8
2022-06,100.0
2022-07,100.5
2022-08,99.9
2022-09,100.3
2022-10,100.1
2022-11,99.8
2022-12,100.0
2023-01,100.8
2023-02,99.5
2023-03,99.7
2023-04,99.9
2023-05,99.8
2023-06,99.8
2023-07,100.2
2023-08,100.3
2023-09,100.2
2023-10,99.9
2023-11,99.5
2023-12,100.1
2024-01,100.3
2024-02,101.0
2024-03,99.0
2024-04,100.1
2024-05,99.9
2024-06,99.8
2024-07,100.5
2024-08,100.4
2024-09,100.0
2024-10,99.7
2024-11,99.4
2024-12,100.0
2025-01,100.7
2025-02,99.8
2025-03,99.6
2025-04,100.1
2025-05,99.8
2025-06,99.9
2025-07,100.4
2025-08,100.0
2025-09,100.1
2025-10,100.2
2025-11,99.9
2025-12,100.2
2026-01,100.2
2026-02,101.0
2026-03,99.3
2026-04,100.3
2026-05,99.9
2026-06,99.7
