date,cpi_yoy,previous_date,previous_cpi_yoy,cpi_month_ratio
2000-01,100.1,,,
2000-02,100.0,2000-01,100.1,99.9001
2000-03,99.9,2000-02,100.0,99.9
2000-04,99.8,2000-03,99.9,99.8999
2000-05,100.0,2000-04,99.8,100.2004
2000-06,100.2,2000-05,100.0,100.2
2000-07,100.2,2000-06,100.2,100.0
2000-08,100.0,2000-07,100.2,99.8004
2000-09,100.2,2000-08,100.0,100.2
2000-10,100.5,2000-09,100.2,100.2994
2000-11,100.8,2000-10,100.5,100.2985
2000-12,100.8,2000-11,100.8,100.0
2001-01,100.5,2000-12,100.8,99.7024
2001-02,100.6,2001-01,100.5,100.0995
2001-03,100.7,2001-02,100.6,100.0994
2001-04,101.3,2001-03,100.7,100.5958
2001-05,101.4,2001-04,101.3,100.0987
2001-06,101.2,2001-05,101.4,99.8028
2001-07,100.8,2001-06,101.2,99.6047
2001-08,100.4,2001-07,100.8,99.6032
2001-09,100.0,2001-08,100.4,99.6016
2001-10,99.8,2001-09,100.0,99.8
2001-11,99.5,2001-10,99.8,99.6994
2001-12,99.3,2001-11,99.5,99.799
2002-01,99.3,2001-12,99.3,100.0
2002-02,99.2,2002-01,99.3,99.8993
2002-03,99.1,2002-02,99.2,99.8992
2002-04,98.8,2002-03,99.1,99.6973
2002-05,98.8,2002-04,98.8,100.0
2002-06,99.0,2002-05,98.8,100.2024
2002-07,99.0,2002-06,99.0,100.0
2002-08,99.1,2002-07,99.0,100.101
2002-09,99.1,2002-08,99.1,100.0
2002-10,99.1,2002-09,99.1,100.0
2002-11,99.5,2002-10,99.1,100.4036
2002-12,99.8,2002-11,99.5,100.3015
2003-01,100.1,2002-12,99.8,100.3006
2003-02,100.3,2003-01,100.1,100.1998
2003-03,100.6,2003-02,100.3,100.2991
2003-04,100.6,2003-03,100.6,100.0
2003-05,100.4,2003-04,100.6,99.8012
2003-06,100.4,2003-05,100.4,100.0
2003-07,100.4,2003-06,100.4,100.0
2003-08,100.9,2003-07,100.4,100.498
2003-09,101.6,2003-08,100.9,100.6938
2003-10,102.0,2003-09,101.6,100.3937
2003-11,102.4,2003-10,102.0,100.3922
2003-12,102.7,2003-11,102.4,100.293
2004-01,102.6,2003-12,102.7,99.9026
2004-02,102.8,2004-01,102.6,100.1949
2004-03,103.1,2004-02,102.8,100.2918
2004-04,103.8,2004-03,103.1,100.679
2004-05,104.4,2004-04,103.8,100.578
2004-06,104.7,2004-05,104.4,100.2874
2004-07,105.1,2004-06,104.7,100.382
2004-08,105.0,2004-07,105.1,99.9049
2004-09,104.2,2004-08,105.0,99.2381
2004-10,103.8,2004-09,104.2,99.6161
2004-11,103.2,2004-10,103.8,99.422
2004-12,102.7,2004-11,103.2,99.5155
2005-01,102.8,2004-12,102.7,100.0974
2005-02,102.7,2005-01,102.8,99.9027
2005-03,102.9,2005-02,102.7,100.1947
2005-04,102.2,2005-03,102.9,99.3197
2005-05,101.7,2005-04,102.2,99.5108
2005-06,101.6,2005-05,101.7,99.9017
2005-07,101.4,2005-06,101.6,99.8031
2005-08,101.1,2005-07,101.4,99.7041
