date,cpi,cpi_yoy_growth,cpi_yoy
2000-01,100.1,0.1,100.1
2000-02,100.0,0.0,100.0
2000-03,99.9,-0.1,99.9
2000-04,99.8,-0.2,99.8
2000-05,100.0,0.0,100.0
2000-06,100.2,0.2,100.2
2000-07,100.2,0.2,100.2
2000-08,100.0,0.0,100.0
2000-09,100.2,0.2,100.2
2000-10,100.5,0.5,100.5
2000-11,100.8,0.8,100.8
2000-12,100.8,0.8,100.8
2001-01,100.5,0.5,100.5
2001-02,100.6,0.6,100.6
2001-03,100.7,0.7,100.7
2001-04,101.3,1.3,101.3
2001-05,101.4,1.4,101.4
2001-06,101.2,1.2,101.2
2001-07,100.8,0.8,100.8
2001-08,100.4,0.4,100.4
2001-09,100.0,0.0,100.0
2001-10,99.8,-0.2,99.8
2001-11,99.5,-0.5,99.5
2001-12,99.3,-0.7,99.3
2002-01,99.3,-0.7,99.3
2002-02,99.2,-0.8,99.2
2002-03,99.1,-0.9,99.1
2002-04,98.8,-1.2,98.8
2002-05,98.8,-1.2,98.8
2002-06,99.0,-1.0,99.0
2002-07,99.0,-1.0,99.0
2002-08,99.1,-0.9,99.1
2002-09,99.1,-0.9,99.1
2002-10,99.1,-0.9,99.1
2002-11,99.5,-0.5,99.5
2002-12,99.8,-0.2,99.8
2003-01,100.1,0.1,100.1
2003-02,100.3,0.3,100.3
2003-03,100.6,0.6,100.6
2003-04,100.6,0.6,100.6
2003-05,100.4,0.4,100.4
2003-06,100.4,0.4,100.4
2003-07,100.4,0.4,100.4
2003-08,100.9,0.9,100.9
2003-09,101.6,1.6,101.6
2003-10,102.0,2.0,102.0
2003-11,102.4,2.4,102.4
2003-12,102.7,2.7,102.7
2004-01,102.6,2.6,102.6
2004-02,102.8,2.8,102.8
2004-03,103.1,3.1,103.1
2004-04,103.8,3.8,103.8
2004-05,104.4,4.4,104.4
2004-06,104.7,4.7,104.7
2004-07,105.1,5.1,105.1
2004-08,105.0,5.0,105.0
2004-09,104.2,4.2,104.2
2004-10,103.8,3.8,103.8
2004-11,103.2,3.2,103.2
2004-12,102.7,2.7,102.7
