sample_id,split,x_start_date,x_end_date,target_date,y
0,train,2000-01,2000-12,2001-01,100.5
1,train,2000-02,2001-01,2001-02,100.6
2,train,2000-03,2001-02,2001-03,100.7
3,train,2000-04,2001-03,2001-04,101.3
4,train,2000-05,2001-04,2001-05,101.4
5,train,2000-06,2001-05,2001-06,101.2
6,train,2000-07,2001-06,2001-07,100.8
7,train,2000-08,2001-07,2001-08,100.4
8,train,2000-09,2001-08,2001-09,100.0
9,train,2000-10,2001-09,2001-10,99.8
10,train,2000-11,2001-10,2001-11,99.5
11,train,2000-12,2001-11,2001-12,99.3
12,train,2001-01,2001-12,2002-01,99.3
13,train,2001-02,2002-01,2002-02,99.2
14,train,2001-03,2002-02,2002-03,99.1
15,train,2001-04,2002-03,2002-04,98.8
16,train,2001-05,2002-04,2002-05,98.8
17,train,2001-06,2002-05,2002-06,99.0
18,train,2001-07,2002-06,2002-07,99.0
19,train,2001-08,2002-07,2002-08,99.1
20,train,2001-09,2002-08,2002-09,99.1
21,train,2001-10,2002-09,2002-10,99.1
22,train,2001-11,2002-10,2002-11,99.5
23,train,2001-12,2002-11,2002-12,99.8
24,train,2002-01,2002-12,2003-01,100.1
25,train,2002-02,2003-01,2003-02,100.3
26,train,2002-03,2003-02,2003-03,100.6
27,train,2002-04,2003-03,2003-04,100.6
28,train,2002-05,2003-04,2003-05,100.4
29,train,2002-06,2003-05,2003-06,100.4
30,train,2002-07,2003-06,2003-07,100.4
31,train,2002-08,2003-07,2003-08,100.9
32,train,2002-09,2003-08,2003-09,101.6
33,train,2002-10,2003-09,2003-10,102.0
34,train,2002-11,2003-10,2003-11,102.4
35,train,2002-12,2003-11,2003-12,102.7
36,train,2003-01,2003-12,2004-01,102.6
37,train,2003-02,2004-01,2004-02,102.8
38,train,2003-03,2004-02,2004-03,103.1
39,train,2003-04,2004-03,2004-04,103.8
40,train,2003-05,2004-04,2004-05,104.4
41,train,2003-06,2004-05,2004-06,104.7
42,train,2003-07,2004-06,2004-07,105.1
43,train,2003-08,2004-07,2004-08,105.0
44,train,2003-09,2004-08,2004-09,104.2
45,train,2003-10,2004-09,2004-10,103.8
46,train,2003-11,2004-10,2004-11,103.2
47,train,2003-12,2004-11,2004-12,102.7
48,train,2004-01,2004-12,2005-01,102.8
49,train,2004-02,2005-01,2005-02,102.7
50,train,2004-03,2005-02,2005-03,102.9
51,train,2004-04,2005-03,2005-04,102.2
52,train,2004-05,2005-04,2005-05,101.7
53,train,2004-06,2005-05,2005-06,101.6
54,train,2004-07,2005-06,2005-07,101.4
55,train,2004-08,2005-07,2005-08,101.1
56,train,2004-09,2005-08,2005-09,101.0
57,train,2004-10,2005-09,2005-10,101.0
58,train,2004-11,2005-10,2005-11,101.3
59,train,2004-12,2005-11,2005-12,101.4
60,train,2005-01,2005-12,2006-01,101.9
61,train,2005-02,2006-01,2006-02,100.9
62,train,2005-03,2006-02,2006-03,100.8
63,train,2005-04,2006-03,2006-04,101.2
64,train,2005-05,2006-04,2006-05,101.4
65,train,2005-06,2006-05,2006-06,101.5
66,train,2005-07,2006-06,2006-07,101.0
67,train,2005-08,2006-07,2006-08,101.3
68,train,2005-09,2006-08,2006-09,101.5
69,train,2005-10,2006-09,2006-10,101.4
70,train,2005-11,2006-10,2006-11,101.9
71,train,2005-12,2006-11,2006-12,102.8
72,train,2006-01,2006-12,2007-01,102.2
73,train,2006-02,2007-01,2007-02,102.7
74,train,2006-03,2007-02,2007-03,103.3
75,train,2006-04,2007-03,2007-04,103.0
76,train,2006-05,2007-04,2007-05,103.4
77,train,2006-06,2007-05,2007-06,104.4
78,train,2006-07,2007-06,2007-07,105.6
79,train,2006-08,2007-07,2007-08,106.5
80,train,2006-09,2007-08,2007-09,106.2
81,train,2006-10,2007-09,2007-10,106.5
82,train,2006-11,2007-10,2007-11,106.9
83,train,2006-12,2007-11,2007-12,106.5
84,train,2007-01,2007-12,2008-01,107.08
85,train,2007-02,2008-01,2008-02,108.74
86,train,2007-03,2008-02,2008-03,108.31
87,train,2007-04,2008-03,2008-04,108.48
88,train,2007-05,2008-04,2008-05,107.72
89,train,2007-06,2008-05,2008-06,107.08
90,train,2007-07,2008-06,2008-07,106.3
91,train,2007-08,2008-07,2008-08,104.9
92,train,2007-09,2008-08,2008-09,104.64
93,train,2007-10,2008-09,2008-10,103.97
94,train,2007-11,2008-10,2008-11,102.43
95,train,2007-12,2008-11,2008-12,101.2
96,train,2008-01,2008-12,2009-01,100.95
97,train,2008-02,2009-01,2009-02,98.44
98,train,2008-03,2009-02,2009-03,98.83
99,train,2008-04,2009-03,2009-04,98.5
100,train,2008-05,2009-04,2009-05,98.63
101,train,2008-06,2009-05,2009-06,98.3
102,train,2008-07,2009-06,2009-07,98.19
103,train,2008-08,2009-07,2009-08,98.8
104,train,2008-09,2009-08,2009-09,99.21
105,train,2008-10,2009-09,2009-10,99.47
106,train,2008-11,2009-10,2009-11,100.56
107,train,2008-12,2009-11,2009-12,101.86
108,train,2009-01,2009-12,2010-01,101.53
109,train,2009-02,2010-01,2010-02,102.7
110,train,2009-03,2010-02,2010-03,102.37
111,train,2009-04,2010-03,2010-04,102.81
112,train,2009-05,2010-04,2010-05,103.06
113,train,2009-06,2010-05,2010-06,102.95
114,train,2009-07,2010-06,2010-07,103.3
115,train,2009-08,2010-07,2010-08,103.48
116,train,2009-09,2010-08,2010-09,103.61
117,train,2009-10,2010-09,2010-10,104.37
118,train,2009-11,2010-10,2010-11,105.12
119,train,2009-12,2010-11,2010-12,104.59
120,train,2010-01,2010-12,2011-01,104.91
121,train,2010-02,2011-01,2011-02,104.94
122,train,2010-03,2011-02,2011-03,105.38
123,train,2010-04,2011-03,2011-04,105.34
124,train,2010-05,2011-04,2011-05,105.51
125,train,2010-06,2011-05,2011-06,106.36
126,train,2010-07,2011-06,2011-07,106.45
127,train,2010-08,2011-07,2011-08,106.15
128,train,2010-09,2011-08,2011-09,106.07
129,train,2010-10,2011-09,2011-10,105.5
130,train,2010-11,2011-10,2011-11,104.22
131,train,2010-12,2011-11,2011-12,104.07
132,train,2011-01,2011-12,2012-01,104.55
133,train,2011-02,2012-01,2012-02,103.16
134,train,2011-03,2012-02,2012-03,103.59
135,train,2011-04,2012-03,2012-04,103.37
136,train,2011-05,2012-04,2012-05,103.0
137,train,2011-06,2012-05,2012-06,102.15
138,train,2011-07,2012-06,2012-07,101.8
139,train,2011-08,2012-07,2012-08,102.0
140,train,2011-09,2012-08,2012-09,101.9
141,train,2011-10,2012-09,2012-10,101.7
142,train,2011-11,2012-10,2012-11,102.0
143,train,2011-12,2012-11,2012-12,102.5
144,train,2012-01,2012-12,2013-01,102.0
145,train,2012-02,2013-01,2013-02,103.2
146,train,2012-03,2013-02,2013-03,102.1
147,train,2012-04,2013-03,2013-04,102.4
148,train,2012-05,2013-04,2013-05,102.1
149,train,2012-06,2013-05,2013-06,102.7
150,train,2012-07,2013-06,2013-07,102.7
151,train,2012-08,2013-07,2013-08,102.6
152,train,2012-09,2013-08,2013-09,103.1
