sample_id,split,x_start_date,x_end_date,target_date,y
0,train,2000-02,2001-01,2001-02,100.0995
1,train,2000-03,2001-02,2001-03,100.0994
2,train,2000-04,2001-03,2001-04,100.5958
3,train,2000-05,2001-04,2001-05,100.0987
4,train,2000-06,2001-05,2001-06,99.8028
5,train,2000-07,2001-06,2001-07,99.6047
6,train,2000-08,2001-07,2001-08,99.6032
7,train,2000-09,2001-08,2001-09,99.6016
8,train,2000-10,2001-09,2001-10,99.8
9,train,2000-11,2001-10,2001-11,99.6994
10,train,2000-12,2001-11,2001-12,99.799
11,train,2001-01,2001-12,2002-01,100.0
12,train,2001-02,2002-01,2002-02,99.8993
13,train,2001-03,2002-02,2002-03,99.8992
14,train,2001-04,2002-03,2002-04,99.6973
15,train,2001-05,2002-04,2002-05,100.0
16,train,2001-06,2002-05,2002-06,100.2024
17,train,2001-07,2002-06,2002-07,100.0
18,train,2001-08,2002-07,2002-08,100.101
19,train,2001-09,2002-08,2002-09,100.0
20,train,2001-10,2002-09,2002-10,100.0
21,train,2001-11,2002-10,2002-11,100.4036
22,train,2001-12,2002-11,2002-12,100.3015
23,train,2002-01,2002-12,2003-01,100.3006
24,train,2002-02,2003-01,2003-02,100.1998
25,train,2002-03,2003-02,2003-03,100.2991
26,train,2002-04,2003-03,2003-04,100.0
27,train,2002-05,2003-04,2003-05,99.8012
28,train,2002-06,2003-05,2003-06,100.0
29,train,2002-07,2003-06,2003-07,100.0
30,train,2002-08,2003-07,2003-08,100.498
31,train,2002-09,2003-08,2003-09,100.6938
32,train,2002-10,2003-09,2003-10,100.3937
33,train,2002-11,2003-10,2003-11,100.3922
34,train,2002-12,2003-11,2003-12,100.293
35,train,2003-01,2003-12,2004-01,99.9026
36,train,2003-02,2004-01,2004-02,100.1949
37,train,2003-03,2004-02,2004-03,100.2918
38,train,2003-04,2004-03,2004-04,100.679
39,train,2003-05,2004-04,2004-05,100.578
40,train,2003-06,2004-05,2004-06,100.2874
41,train,2003-07,2004-06,2004-07,100.382
42,train,2003-08,2004-07,2004-08,99.9049
43,train,2003-09,2004-08,2004-09,99.2381
44,train,2003-10,2004-09,2004-10,99.6161
