sample_id,split,x_start_date,x_end_date,target_date,y
0,train,2013-07,2014-06,2014-07,100.1
1,train,2013-08,2014-07,2014-08,100.2
2,train,2013-09,2014-08,2014-09,100.5
3,train,2013-10,2014-09,2014-10,100.0
4,train,2013-11,2014-10,2014-11,99.8
5,train,2013-12,2014-11,2014-12,100.3
6,train,2014-01,2014-12,2015-01,100.3
7,train,2014-02,2015-01,2015-02,101.2
8,train,2014-03,2015-02,2015-03,99.5
9,train,2014-04,2015-03,2015-04,99.8
10,train,2014-05,2015-04,2015-05,99.8
11,train,2014-06,2015-05,2015-06,100.0
12,train,2014-07,2015-06,2015-07,100.3
13,train,2014-08,2015-07,2015-08,100.5
14,train,2014-09,2015-08,2015-09,100.1
15,train,2014-10,2015-09,2015-10,99.7
16,train,2014-11,2015-10,2015-11,100.0
17,train,2014-12,2015-11,2015-12,100.5
18,train,2015-01,2015-12,2016-01,100.5
19,train,2015-02,2016-01,2016-02,101.6
20,train,2015-03,2016-02,2016-03,99.6
21,train,2015-04,2016-03,2016-04,99.8
22,train,2015-05,2016-04,2016-05,99.5
23,train,2015-06,2016-05,2016-06,99.9
24,train,2015-07,2016-06,2016-07,100.2
25,train,2015-08,2016-07,2016-08,100.1
26,train,2015-09,2016-08,2016-09,100.7
27,train,2015-10,2016-09,2016-10,99.9
28,train,2015-11,2016-10,2016-11,100.1
29,train,2015-12,2016-11,2016-12,100.2
30,train,2016-01,2016-12,2017-01,101.0
31,train,2016-02,2017-01,2017-02,99.8
32,train,2016-03,2017-02,2017-03,99.7
33,train,2016-04,2017-03,2017-04,100.1
34,train,2016-05,2017-04,2017-05,99.9
35,train,2016-06,2017-05,2017-06,99.8
36,train,2016-07,2017-06,2017-07,100.1
37,train,2016-08,2017-07,2017-08,100.4
38,train,2016-09,2017-08,2017-09,100.5
39,train,2016-10,2017-09,2017-10,100.1
40,train,2016-11,2017-10,2017-11,100.0
41,train,2016-12,2017-11,2017-12,100.3
42,train,2017-01,2017-12,2018-01,100.6
43,train,2017-02,2018-01,2018-02,101.2
44,train,2017-03,2018-02,2018-03,98.9
45,train,2017-04,2018-03,2018-04,99.8
46,train,2017-05,2018-04,2018-05,99.8
47,train,2017-06,2018-05,2018-06,99.9
48,train,2017-07,2018-06,2018-07,100.3
49,train,2017-08,2018-07,2018-08,100.7
50,val,2017-09,2018-08,2018-09,100.7
51,val,2017-10,2018-09,2018-10,100.2
52,val,2017-11,2018-10,2018-11,99.7
53,val,2017-12,2018-11,2018-12,100.0
54,val,2018-01,2018-12,2019-01,100.5
55,val,2018-02,2019-01,2019-02,101.0
56,val,2018-03,2019-02,2019-03,99.6
57,val,2018-04,2019-03,2019-04,100.1
58,val,2018-05,2019-04,2019-05,100.0
59,val,2018-06,2019-05,2019-06,99.9
60,val,2018-07,2019-06,2019-07,100.4
61,val,2018-08,2019-07,2019-08,100.7
62,val,2018-09,2019-08,2019-09,100.9
63,val,2018-10,2019-09,2019-10,100.9
64,val,2018-11,2019-10,2019-11,100.4
65,val,2018-12,2019-11,2019-12,100.0
66,val,2019-01,2019-12,2020-01,101.4
67,val,2019-02,2020-01,2020-02,100.8
68,val,2019-03,2020-02,2020-03,98.8
69,val,2019-04,2020-03,2020-04,99.1
70,val,2019-05,2020-04,2020-05,99.2
71,val,2019-06,2020-05,2020-06,99.9
72,val,2019-07,2020-06,2020-07,100.6
73,val,2019-08,2020-07,2020-08,100.4
74,val,2019-09,2020-08,2020-09,100.2
75,val,2019-10,2020-09,2020-10,99.7
76,val,2019-11,2020-10,2020-11,99.4
77,val,2019-12,2020-11,2020-12,100.7
78,val,2020-01,2020-12,2021-01,101.0
79,val,2020-02,2021-01,2021-02,100.6
80,val,2020-03,2021-02,2021-03,99.5
81,val,2020-04,2021-03,2021-04,99.7
82,val,2020-05,2021-04,2021-05,99.8
83,val,2020-06,2021-05,2021-06,99.6
84,val,2020-07,2021-06,2021-07,100.3
85,val,2020-08,2021-07,2021-08,100.1
86,val,2020-09,2021-08,2021-09,100.0
87,val,2020-10,2021-09,2021-10,100.7
88,val,2020-11,2021-10,2021-11,100.4
89,val,2020-12,2021-11,2021-12,99.7
90,val,2021-01,2021-12,2022-01,100.4
91,val,2021-02,2022-01,2022-02,100.6
92,val,2021-03,2022-02,2022-03,100.0
93,val,2021-04,2022-03,2022-04,100.4
94,val,2021-05,2022-04,2022-05,99.8
95,test,2021-06,2022-05,2022-06,100.0
96,test,2021-07,2022-06,2022-07,100.5
