sample_id,split,x_start_date,x_end_date,target_date,y
0,train,2013-07,2014-06,2014-07,100.1
1,train,2013-08,2014-07,2014-08,100.2
2,train,2013-09,2014-08,2014-09,100.5
3,train,2013-10,2014-09,2014-10,100.0
4,train,2013-11,2014-10,2014-11,99.8
5,train,2013-12,2014-11,2014-12,100.3
6,train,2014-01,2014-12,2015-01,100.3
7,train,2014-02,2015-01,2015-02,101.2
8,train,2014-03,2015-02,2015-03,99.5
9,train,2014-04,2015-03,2015-04,99.8
10,train,2014-05,2015-04,2015-05,99.8
11,train,2014-06,2015-05,2015-06,100.0
12,train,2014-07,2015-06,2015-07,100.3
13,train,2014-08,2015-07,2015-08,100.5
14,train,2014-09,2015-08,2015-09,100.1
15,train,2014-10,2015-09,2015-10,99.7
16,train,2014-11,2015-10,2015-11,100.0
17,train,2014-12,2015-11,2015-12,100.5
18,train,2015-01,2015-12,2016-01,100.5
19,train,2015-02,2016-01,2016-02,101.6
20,train,2015-03,2016-02,2016-03,99.6
21,train,2015-04,2016-03,2016-04,99.8
22,train,2015-05,2016-04,2016-05,99.5
23,train,2015-06,2016-05,2016-06,99.9
24,train,2015-07,2016-06,2016-07,100.2
25,train,2015-08,2016-07,2016-08,100.1
26,train,2015-09,2016-08,2016-09,100.7
27,train,2015-10,2016-09,2016-10,99.9
28,train,2015-11,2016-10,2016-11,100.1
29,train,2015-12,2016-11,2016-12,100.2
30,train,2016-01,2016-12,2017-01,101.0
31,train,2016-02,2017-01,2017-02,99.8
32,train,2016-03,2017-02,2017-03,99.7
33,train,2016-04,2017-03,2017-04,100.1
34,train,2016-05,2017-04,2017-05,99.9
35,train,2016-06,2017-05,2017-06,99.8
36,train,2016-07,2017-06,2017-07,100.1
37,train,2016-08,2017-07,2017-08,100.4
38,train,2016-09,2017-08,2017-09,100.5
39,train,2016-10,2017-09,2017-10,100.1
40,train,2016-11,2017-10,2017-11,100.0
41,train,2016-12,2017-11,2017-12,100.3
42,train,2017-01,2017-12,2018-01,100.6
43,train,2017-02,2018-01,2018-02,101.2
44,train,2017-03,2018-02,2018-03,98.9
45,train,2017-04,2018-03,2018-04,99.8
46,train,2017-05,2018-04,2018-05,99.8
47,train,2017-06,2018-05,2018-06,99.9
48,train,2017-07,2018-06,2018-07,100.3
49,train,2017-08,2018-07,2018-08,100.7
