sample_id,split,x_start_date,x_end_date,target_date,y
0,train,2017-09,2018-08,2018-09,100.7
1,train,2017-10,2018-09,2018-10,100.2
2,train,2017-11,2018-10,2018-11,99.7
3,train,2017-12,2018-11,2018-12,100.0
4,train,2018-01,2018-12,2019-01,100.5
5,train,2018-02,2019-01,2019-02,101.0
6,train,2018-03,2019-02,2019-03,99.6
7,train,2018-04,2019-03,2019-04,100.1
8,train,2018-05,2019-04,2019-05,100.0
9,train,2018-06,2019-05,2019-06,99.9
10,train,2018-07,2019-06,2019-07,100.4
11,train,2018-08,2019-07,2019-08,100.7
12,train,2018-09,2019-08,2019-09,100.9
13,train,2018-10,2019-09,2019-10,100.9
14,train,2018-11,2019-10,2019-11,100.4
15,train,2018-12,2019-11,2019-12,100.0
16,train,2019-01,2019-12,2020-01,101.4
17,train,2019-02,2020-01,2020-02,100.8
18,train,2019-03,2020-02,2020-03,98.8
19,train,2019-04,2020-03,2020-04,99.1
20,train,2019-05,2020-04,2020-05,99.2
21,train,2019-06,2020-05,2020-06,99.9
22,train,2019-07,2020-06,2020-07,100.6
23,train,2019-08,2020-07,2020-08,100.4
24,train,2019-09,2020-08,2020-09,100.2
25,train,2019-10,2020-09,2020-10,99.7
26,train,2019-11,2020-10,2020-11,99.4
27,train,2019-12,2020-11,2020-12,100.7
28,train,2020-01,2020-12,2021-01,101.0
29,train,2020-02,2021-01,2021-02,100.6
30,train,2020-03,2021-02,2021-03,99.5
31,train,2020-04,2021-03,2021-04,99.7
32,train,2020-05,2021-04,2021-05,99.8
33,train,2020-06,2021-05,2021-06,99.6
34,train,2020-07,2021-06,2021-07,100.3
35,train,2020-08,2021-07,2021-08,100.1
36,train,2020-09,2021-08,2021-09,100.0
37,train,2020-10,2021-09,2021-10,100.7
38,train,2020-11,2021-10,2021-11,100.4
39,train,2020-12,2021-11,2021-12,99.7
40,train,2021-01,2021-12,2022-01,100.4
41,train,2021-02,2022-01,2022-02,100.6
42,train,2021-03,2022-02,2022-03,100.0
43,train,2021-04,2022-03,2022-04,100.4
44,train,2021-05,2022-04,2022-05,99.8
