sample_id,split,x_start_date,x_end_date,target_date,y
0,train,2017-09,2018-08,2018-09,102.5
1,train,2017-10,2018-09,2018-10,102.5
2,train,2017-11,2018-10,2018-11,102.2
3,train,2017-12,2018-11,2018-12,101.9
4,train,2018-01,2018-12,2019-01,101.7
5,train,2018-02,2019-01,2019-02,101.5
6,train,2018-03,2019-02,2019-03,102.3
7,train,2018-04,2019-03,2019-04,102.5
8,train,2018-05,2019-04,2019-05,102.7
9,train,2018-06,2019-05,2019-06,102.7
10,train,2018-07,2019-06,2019-07,102.8
11,train,2018-08,2019-07,2019-08,102.8
12,train,2018-09,2019-08,2019-09,103.0
13,train,2018-10,2019-09,2019-10,103.8
14,train,2018-11,2019-10,2019-11,104.5
15,train,2018-12,2019-11,2019-12,104.5
16,train,2019-01,2019-12,2020-01,105.4
17,train,2019-02,2020-01,2020-02,105.2
18,train,2019-03,2020-02,2020-03,104.3
19,train,2019-04,2020-03,2020-04,103.3
20,train,2019-05,2020-04,2020-05,102.4
21,train,2019-06,2020-05,2020-06,102.5
22,train,2019-07,2020-06,2020-07,102.7
23,train,2019-08,2020-07,2020-08,102.4
24,train,2019-09,2020-08,2020-09,101.7
25,train,2019-10,2020-09,2020-10,100.5
26,train,2019-11,2020-10,2020-11,99.5
27,train,2019-12,2020-11,2020-12,100.2
28,train,2020-01,2020-12,2021-01,99.7
29,train,2020-02,2021-01,2021-02,99.8
30,train,2020-03,2021-02,2021-03,100.4
31,train,2020-04,2021-03,2021-04,100.9
32,train,2020-05,2021-04,2021-05,101.3
33,train,2020-06,2021-05,2021-06,101.1
34,train,2020-07,2021-06,2021-07,101.0
35,train,2020-08,2021-07,2021-08,100.8
36,train,2020-09,2021-08,2021-09,100.7
37,train,2020-10,2021-09,2021-10,101.5
38,train,2020-11,2021-10,2021-11,102.3
39,train,2020-12,2021-11,2021-12,101.5
40,train,2021-01,2021-12,2022-01,100.9
41,train,2021-02,2022-01,2022-02,100.9
42,train,2021-03,2022-02,2022-03,101.5
43,train,2021-04,2022-03,2022-04,102.1
44,train,2021-05,2022-04,2022-05,102.1
