model,split,num_targets,mae,rmse
naive_last_value,train,45,0.4266666666666661,0.5448751131120676
naive_last_value,test,47,0.3553191489361703,0.47958315233127197
linear_regression,train,45,0.3360752397267242,0.44184691344424176
linear_regression,test,47,0.5253165187618123,0.6836850646274185
ridge,train,45,0.6520705041378423,0.8401323588183343
ridge,test,47,0.9983556518098469,1.091092589425032
svr_rbf,train,45,0.06377123094847927,0.06503868348765397
svr_rbf,test,47,1.2626181653312825,1.3690231481422097
random_forest,train,45,0.3165809940454254,0.42557324752744996
random_forest,test,47,0.7616270142710504,0.8728579411990458
gradient_boosting,train,45,0.19769835363149563,0.27028201084965164
gradient_boosting,test,47,0.8746391159339731,0.9873347896985484
