model,cv_mae,cv_rmse,alpha,C,epsilon,max_depth,min_samples_leaf,learning_rate
linear_regression,1.3716356537609673,1.537736930887645,,,,,,
ridge,1.3318444600016788,1.503576424498185,100.0,,,,,
ridge,1.371213127597634,1.538199515090395,0.01,,,,,
ridge,1.3678929803056497,1.5423073716645423,0.1,,,,,
ridge,1.3900565794892596,1.5811591906201117,1.0,,,,,
ridge,1.4190609847340214,1.6125672492625136,10.0,,,,,
svr_rbf,1.069452932696954,1.189280874282829,,100.0,0.05,,,
svr_rbf,1.075943002270387,1.198095338526261,,10.0,0.05,,,
svr_rbf,1.0809909830104358,1.203079938992667,,100.0,0.1,,,
svr_rbf,1.0856241689045678,1.2057771887610707,,10.0,0.1,,,
svr_rbf,1.1406395675053727,1.2610644033846259,,10.0,0.2,,,
svr_rbf,1.1406395675053727,1.2610644033846259,,100.0,0.2,,,
svr_rbf,1.1656591025963465,1.2973772172620586,,1.0,0.05,,,
svr_rbf,1.1716420277743371,1.3039229039820015,,1.0,0.1,,,
svr_rbf,1.2025669780561805,1.3324075449843023,,1.0,0.2,,,
svr_rbf,1.2611255628431741,1.4296568712655326,,0.1,0.1,,,
svr_rbf,1.271654080421258,1.4380413277095632,,0.1,0.2,,,
svr_rbf,1.2717092058078245,1.4401201228655536,,0.1,0.05,,,
random_forest,1.1657421780236157,1.273468573245418,,,,3.0,4.0,
random_forest,1.1664494436422457,1.2740380145642602,,,,,4.0,
random_forest,1.187571644708482,1.2950071968099919,,,,2.0,4.0,
random_forest,1.2454928684806856,1.3496211732163332,,,,,2.0,
random_forest,1.2508741712222367,1.3553745877496257,,,,3.0,2.0,
random_forest,1.270071912497161,1.369823268551314,,,,2.0,2.0,
random_forest,1.2761248911380765,1.3804019818654698,,,,2.0,1.0,
random_forest,1.2741634185168373,1.3861961104221794,,,,3.0,1.0,
random_forest,1.276276190476167,1.388427178457035,,,,,1.0,
gradient_boosting,1.1941967468680401,1.3254567698971496,,,,2.0,,0.03
gradient_boosting,1.2016373027538472,1.3361219088494924,,,,2.0,,0.1
gradient_boosting,1.2980141613766132,1.4054679774456373,,,,1.0,,0.03
gradient_boosting,1.275867839783467,1.4057295859538566,,,,1.0,,0.1
