model,split,num_targets,mae,rmse
naive_last_value,train,50,0.44799999999999984,0.6569627082262733
naive_last_value,val,45,0.491111111111111,0.6357847294660535
naive_last_value,test,47,0.4574468085106383,0.6190246274274569
linear_regression,train,50,0.2275510342651765,0.3209606073308749
linear_regression,val,45,0.6210850471740116,0.8175139395849478
linear_regression,test,47,0.7714386915893398,0.8583898201499629
ridge,train,50,0.2888268639870853,0.40774185031728843
ridge,val,45,0.38302868411117036,0.48437472572388557
ridge,test,47,0.2967339544272525,0.3951745510671638
svr_rbf,train,50,0.07763854998823405,0.0849559325539449
svr_rbf,val,45,0.40336510313769336,0.5024813716737498
svr_rbf,test,47,0.362916091444765,0.46605385842010466
random_forest,train,50,0.17351017550942543,0.26310281307589933
random_forest,val,45,0.3998322622152077,0.4934285504880932
random_forest,test,47,0.32782662277239816,0.4021330238999104
gradient_boosting,train,50,0.20939821192739316,0.29984956760573417
gradient_boosting,val,45,0.41023071724089183,0.5135574097334565
gradient_boosting,test,47,0.30570449499586366,0.38239919271294226
