sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance
185,162,2015-06,2016-05,2016-06,2013-07,2014-06,2014-07,101.9,102.3,-0.4,1.726193
186,162,2015-07,2016-06,2016-07,2013-07,2014-06,2014-07,101.8,102.3,-0.5,1.928923
186,163,2015-07,2016-06,2016-07,2013-08,2014-07,2014-08,101.8,102.0,-0.2,1.723137
187,162,2015-08,2016-07,2016-08,2013-07,2014-06,2014-07,101.3,102.3,-1.0,1.846517
187,163,2015-08,2016-07,2016-08,2013-08,2014-07,2014-08,101.3,102.0,-0.7,1.91807
187,164,2015-08,2016-07,2016-08,2013-09,2014-08,2014-09,101.3,101.6,-0.3,1.694097
188,162,2015-09,2016-08,2016-09,2013-07,2014-06,2014-07,101.9,102.3,-0.4,1.66794
188,163,2015-09,2016-08,2016-09,2013-08,2014-07,2014-08,101.9,102.0,-0.1,1.775411
188,164,2015-09,2016-08,2016-09,2013-09,2014-08,2014-09,101.9,101.6,0.3,1.778225
188,165,2015-09,2016-08,2016-09,2013-10,2014-09,2014-10,101.9,101.6,0.3,1.55414
189,162,2015-10,2016-09,2016-10,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.47707
189,163,2015-10,2016-09,2016-10,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.663143
189,164,2015-10,2016-09,2016-10,2013-09,2014-08,2014-09,102.1,101.6,0.5,1.767028
189,165,2015-10,2016-09,2016-10,2013-10,2014-09,2014-10,102.1,101.6,0.5,1.74317
189,166,2015-10,2016-09,2016-10,2013-11,2014-10,2014-11,102.1,101.4,0.7,1.510395
190,162,2015-11,2016-10,2016-11,2013-07,2014-06,2014-07,102.3,102.3,0.0,1.029295
190,163,2015-11,2016-10,2016-11,2013-08,2014-07,2014-08,102.3,102.0,0.3,1.465189
190,164,2015-11,2016-10,2016-11,2013-09,2014-08,2014-09,102.3,101.6,0.7,1.694246
190,165,2015-11,2016-10,2016-11,2013-10,2014-09,2014-10,102.3,101.6,0.7,1.717284
190,166,2015-11,2016-10,2016-11,2013-11,2014-10,2014-11,102.3,101.4,0.9,1.665963
190,167,2015-11,2016-10,2016-11,2013-12,2014-11,2014-12,102.3,101.5,0.8,1.373849
191,162,2015-12,2016-11,2016-12,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.058107
191,163,2015-12,2016-11,2016-12,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.030495
191,164,2015-12,2016-11,2016-12,2013-09,2014-08,2014-09,102.1,101.6,0.5,1.521278
191,165,2015-12,2016-11,2016-12,2013-10,2014-09,2014-10,102.1,101.6,0.5,1.688563
191,166,2015-12,2016-11,2016-12,2013-11,2014-10,2014-11,102.1,101.4,0.7,1.690495
191,167,2015-12,2016-11,2016-12,2013-12,2014-11,2014-12,102.1,101.5,0.6,1.640523
191,168,2015-12,2016-11,2016-12,2014-01,2014-12,2015-01,102.1,100.8,1.3,1.370219
192,162,2016-01,2016-12,2017-01,2013-07,2014-06,2014-07,102.5,102.3,0.2,1.025601
192,163,2016-01,2016-12,2017-01,2013-08,2014-07,2014-08,102.5,102.0,0.5,1.004861
192,164,2016-01,2016-12,2017-01,2013-09,2014-08,2014-09,102.5,101.6,0.9,1.034737
192,165,2016-01,2016-12,2017-01,2013-10,2014-09,2014-10,102.5,101.6,0.9,1.444097
192,166,2016-01,2016-12,2017-01,2013-11,2014-10,2014-11,102.5,101.4,1.1,1.608193
192,167,2016-01,2016-12,2017-01,2013-12,2014-11,2014-12,102.5,101.5,1.0,1.606543
192,168,2016-01,2016-12,2017-01,2014-01,2014-12,2015-01,102.5,100.8,1.7,1.594517
192,169,2016-01,2016-12,2017-01,2014-02,2015-01,2015-02,102.5,101.4,1.1,1.331365
193,162,2016-02,2017-01,2017-02,2013-07,2014-06,2014-07,100.8,102.3,-1.5,1.45695
193,163,2016-02,2017-01,2017-02,2013-08,2014-07,2014-08,100.8,102.0,-1.2,1.104182
193,164,2016-02,2017-01,2017-02,2013-09,2014-08,2014-09,100.8,101.6,-0.8,1.17891
193,165,2016-02,2017-01,2017-02,2013-10,2014-09,2014-10,100.8,101.6,-0.8,1.19325
193,166,2016-02,2017-01,2017-02,2013-11,2014-10,2014-11,100.8,101.4,-0.6,1.487458
193,167,2016-02,2017-01,2017-02,2013-12,2014-11,2014-12,100.8,101.5,-0.7,1.664571
193,168,2016-02,2017-01,2017-02,2014-01,2014-12,2015-01,100.8,100.8,0.0,1.648971
193,169,2016-02,2017-01,2017-02,2014-02,2015-01,2015-02,100.8,101.4,-0.6,1.686382
193,170,2016-02,2017-01,2017-02,2014-03,2015-02,2015-03,100.8,101.4,-0.6,1.402388
194,162,2016-03,2017-02,2017-03,2013-07,2014-06,2014-07,100.9,102.3,-1.4,1.399544
194,163,2016-03,2017-02,2017-03,2013-08,2014-07,2014-08,100.9,102.0,-1.1,1.367828
194,164,2016-03,2017-02,2017-03,2013-09,2014-08,2014-09,100.9,101.6,-0.7,1.010493
194,165,2016-03,2017-02,2017-03,2013-10,2014-09,2014-10,100.9,101.6,-0.7,0.985253
194,166,2016-03,2017-02,2017-03,2013-11,2014-10,2014-11,100.9,101.4,-0.5,1.040191
194,167,2016-03,2017-02,2017-03,2013-12,2014-11,2014-12,100.9,101.5,-0.6,1.239615
194,168,2016-03,2017-02,2017-03,2014-01,2014-12,2015-01,100.9,100.8,0.1,1.426104
194,169,2016-03,2017-02,2017-03,2014-02,2015-01,2015-02,100.9,101.4,-0.5,1.220572
194,170,2016-03,2017-02,2017-03,2014-03,2015-02,2015-03,100.9,101.4,-0.5,1.486322
194,171,2016-03,2017-02,2017-03,2014-04,2015-03,2015-04,100.9,101.5,-0.6,1.33652
195,162,2016-04,2017-03,2017-04,2013-07,2014-06,2014-07,101.2,102.3,-1.1,1.593473
195,163,2016-04,2017-03,2017-04,2013-08,2014-07,2014-08,101.2,102.0,-0.8,1.355503
195,164,2016-04,2017-03,2017-04,2013-09,2014-08,2014-09,101.2,101.6,-0.4,1.251011
195,165,2016-04,2017-03,2017-04,2013-10,2014-09,2014-10,101.2,101.6,-0.4,0.90309
195,166,2016-04,2017-03,2017-04,2013-11,2014-10,2014-11,101.2,101.4,-0.2,0.891029
195,167,2016-04,2017-03,2017-04,2013-12,2014-11,2014-12,101.2,101.5,-0.3,0.920897
195,168,2016-04,2017-03,2017-04,2014-01,2014-12,2015-01,101.2,100.8,0.4,1.154632
195,169,2016-04,2017-03,2017-04,2014-02,2015-01,2015-02,101.2,101.4,-0.2,1.203666
195,170,2016-04,2017-03,2017-04,2014-03,2015-02,2015-03,101.2,101.4,-0.2,1.158887
195,171,2016-04,2017-03,2017-04,2014-04,2015-03,2015-04,101.2,101.5,-0.3,1.460679
195,172,2016-04,2017-03,2017-04,2014-05,2015-04,2015-05,101.2,101.2,0.0,1.305969
196,162,2016-05,2017-04,2017-05,2013-07,2014-06,2014-07,101.5,102.3,-0.8,1.300572
196,163,2016-05,2017-04,2017-05,2013-08,2014-07,2014-08,101.5,102.0,-0.5,1.578703
196,164,2016-05,2017-04,2017-05,2013-09,2014-08,2014-09,101.5,101.6,-0.1,1.295435
196,165,2016-05,2017-04,2017-05,2013-10,2014-09,2014-10,101.5,101.6,-0.1,1.229022
196,166,2016-05,2017-04,2017-05,2013-11,2014-10,2014-11,101.5,101.4,0.1,0.884643
196,167,2016-05,2017-04,2017-05,2013-12,2014-11,2014-12,101.5,101.5,0.0,0.870456
196,168,2016-05,2017-04,2017-05,2014-01,2014-12,2015-01,101.5,100.8,0.7,0.909317
196,169,2016-05,2017-04,2017-05,2014-02,2015-01,2015-02,101.5,101.4,0.1,1.110163
196,170,2016-05,2017-04,2017-05,2014-03,2015-02,2015-03,101.5,101.4,0.1,1.169903
