sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,delta_bin,selection_method
185,162,2015-06,2016-05,2016-06,2013-07,2014-06,2014-07,101.9,102.3,-0.4,1.726193,small,closed50_delta_stratified_train
186,163,2015-07,2016-06,2016-07,2013-08,2014-07,2014-08,101.8,102.0,-0.2,1.723137,small,closed50_delta_stratified_train
186,162,2015-07,2016-06,2016-07,2013-07,2014-06,2014-07,101.8,102.3,-0.5,1.928923,small,closed50_delta_stratified_train
187,164,2015-08,2016-07,2016-08,2013-09,2014-08,2014-09,101.3,101.6,-0.3,1.694097,small,closed50_delta_stratified_train
187,162,2015-08,2016-07,2016-08,2013-07,2014-06,2014-07,101.3,102.3,-1.0,1.846517,small,closed50_delta_stratified_train
188,164,2015-09,2016-08,2016-09,2013-09,2014-08,2014-09,101.9,101.6,0.3,1.778225,medium,closed50_delta_stratified_train
188,165,2015-09,2016-08,2016-09,2013-10,2014-09,2014-10,101.9,101.6,0.3,1.55414,medium,closed50_delta_stratified_train
188,162,2015-09,2016-08,2016-09,2013-07,2014-06,2014-07,101.9,102.3,-0.4,1.66794,small,closed50_delta_stratified_train
188,163,2015-09,2016-08,2016-09,2013-08,2014-07,2014-08,101.9,102.0,-0.1,1.775411,small,closed50_delta_stratified_train
189,165,2015-10,2016-09,2016-10,2013-10,2014-09,2014-10,102.1,101.6,0.5,1.74317,large,closed50_delta_stratified_train
189,164,2015-10,2016-09,2016-10,2013-09,2014-08,2014-09,102.1,101.6,0.5,1.767028,large,closed50_delta_stratified_train
189,163,2015-10,2016-09,2016-10,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.663143,medium,closed50_delta_stratified_train
189,162,2015-10,2016-09,2016-10,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.47707,small,closed50_delta_stratified_train
190,164,2015-11,2016-10,2016-11,2013-09,2014-08,2014-09,102.3,101.6,0.7,1.694246,large,closed50_delta_stratified_train
190,165,2015-11,2016-10,2016-11,2013-10,2014-09,2014-10,102.3,101.6,0.7,1.717284,large,closed50_delta_stratified_train
190,163,2015-11,2016-10,2016-11,2013-08,2014-07,2014-08,102.3,102.0,0.3,1.465189,medium,closed50_delta_stratified_train
190,162,2015-11,2016-10,2016-11,2013-07,2014-06,2014-07,102.3,102.3,0.0,1.029295,small,closed50_delta_stratified_train
191,164,2015-12,2016-11,2016-12,2013-09,2014-08,2014-09,102.1,101.6,0.5,1.521278,large,closed50_delta_stratified_train
191,166,2015-12,2016-11,2016-12,2013-11,2014-10,2014-11,102.1,101.4,0.7,1.690495,large,closed50_delta_stratified_train
191,163,2015-12,2016-11,2016-12,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.030495,medium,closed50_delta_stratified_train
191,162,2015-12,2016-11,2016-12,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.058107,small,closed50_delta_stratified_train
192,164,2016-01,2016-12,2017-01,2013-09,2014-08,2014-09,102.5,101.6,0.9,1.034737,large,closed50_delta_stratified_train
192,163,2016-01,2016-12,2017-01,2013-08,2014-07,2014-08,102.5,102.0,0.5,1.004861,large,closed50_delta_stratified_train
192,162,2016-01,2016-12,2017-01,2013-07,2014-06,2014-07,102.5,102.3,0.2,1.025601,medium,closed50_delta_stratified_train
193,165,2016-02,2017-01,2017-02,2013-10,2014-09,2014-10,100.8,101.6,-0.8,1.19325,small,closed50_delta_stratified_train
193,164,2016-02,2017-01,2017-02,2013-09,2014-08,2014-09,100.8,101.6,-0.8,1.17891,small,closed50_delta_stratified_train
194,168,2016-03,2017-02,2017-03,2014-01,2014-12,2015-01,100.9,100.8,0.1,1.426104,medium,closed50_delta_stratified_train
194,164,2016-03,2017-02,2017-03,2013-09,2014-08,2014-09,100.9,101.6,-0.7,1.010493,small,closed50_delta_stratified_train
194,167,2016-03,2017-02,2017-03,2013-12,2014-11,2014-12,100.9,101.5,-0.6,1.239615,small,closed50_delta_stratified_train
195,168,2016-04,2017-03,2017-04,2014-01,2014-12,2015-01,101.2,100.8,0.4,1.154632,medium,closed50_delta_stratified_train
195,170,2016-04,2017-03,2017-04,2014-03,2015-02,2015-03,101.2,101.4,-0.2,1.158887,small,closed50_delta_stratified_train
195,163,2016-04,2017-03,2017-04,2013-08,2014-07,2014-08,101.2,102.0,-0.8,1.355503,small,closed50_delta_stratified_train
196,168,2016-05,2017-04,2017-05,2014-01,2014-12,2015-01,101.5,100.8,0.7,0.909317,large,closed50_delta_stratified_train
196,173,2016-05,2017-04,2017-05,2014-06,2015-05,2015-06,101.5,101.4,0.1,1.349242,medium,closed50_delta_stratified_train
196,166,2016-05,2017-04,2017-05,2013-11,2014-10,2014-11,101.5,101.4,0.1,0.884643,medium,closed50_delta_stratified_train
196,162,2016-05,2017-04,2017-05,2013-07,2014-06,2014-07,101.5,102.3,-0.8,1.300572,small,closed50_delta_stratified_train
196,171,2016-05,2017-04,2017-05,2014-04,2015-03,2015-04,101.5,101.5,0.0,1.183514,small,closed50_delta_stratified_train
197,168,2016-06,2017-05,2017-06,2014-01,2014-12,2015-01,101.5,100.8,0.7,0.889347,large,closed50_delta_stratified_train
197,170,2016-06,2017-05,2017-06,2014-03,2015-02,2015-03,101.5,101.4,0.1,1.105703,medium,closed50_delta_stratified_train
197,173,2016-06,2017-05,2017-06,2014-06,2015-05,2015-06,101.5,101.4,0.1,1.488252,medium,closed50_delta_stratified_train
197,167,2016-06,2017-05,2017-06,2013-12,2014-11,2014-12,101.5,101.5,0.0,0.886607,small,closed50_delta_stratified_train
197,165,2016-06,2017-05,2017-06,2013-10,2014-09,2014-10,101.5,101.6,-0.1,1.307226,small,closed50_delta_stratified_train
198,168,2016-07,2017-06,2017-07,2014-01,2014-12,2015-01,101.4,100.8,0.6,0.90255,large,closed50_delta_stratified_train
198,172,2016-07,2017-06,2017-07,2014-05,2015-04,2015-05,101.4,101.2,0.2,1.182175,medium,closed50_delta_stratified_train
198,175,2016-07,2017-06,2017-07,2014-08,2015-07,2015-08,101.4,102.0,-0.6,1.477585,small,closed50_delta_stratified_train
198,173,2016-07,2017-06,2017-07,2014-06,2015-05,2015-06,101.4,101.4,0.0,1.183989,small,closed50_delta_stratified_train
