sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance
174,162,2014-07,2015-06,2015-07,2013-07,2014-06,2014-07,101.6,102.3,-0.7,1.254134,1.254134,3.079758133485673,0.8471033713678583,2.543700966280351,1.6954021688241048
175,162,2014-08,2015-07,2015-08,2013-07,2014-06,2014-07,102.0,102.3,-0.3,1.194128,1.194128,3.0734360822820515,0.8065723875158141,2.538479319950181,1.6725258537329977
175,163,2014-08,2015-07,2015-08,2013-08,2014-07,2014-08,102.0,102.0,0.0,1.300708,1.300708,2.9936996007131564,0.8785617262311237,2.472621627097842,1.6755916766644827
176,162,2014-09,2015-08,2015-09,2013-07,2014-06,2014-07,101.6,102.3,-0.7,1.594687,1.594687,2.889868953506733,1.0771295044839673,2.3868635557880116,1.7319965301359894
176,163,2014-09,2015-08,2015-09,2013-08,2014-07,2014-08,101.6,102.0,-0.4,1.329993,1.329993,2.804918985617761,0.898342245880944,2.3166998266772145,1.6075210362790793
176,164,2014-09,2015-08,2015-09,2013-09,2014-08,2014-09,101.6,101.6,0.0,1.479653,1.479653,2.631258698203577,0.9994299211683645,2.173266536868829,1.5863482290185966
177,162,2014-10,2015-09,2015-10,2013-07,2014-06,2014-07,101.3,102.3,-1.0,1.633141,1.633141,3.0734360822820856,1.1031032146637245,2.5384793199502096,1.820791267306967
177,163,2014-10,2015-09,2015-10,2013-08,2014-07,2014-08,101.3,102.0,-0.7,1.622259,1.622259,2.99369960071319,1.0957529802492,2.4726216270978694,1.7841873036735347
177,164,2014-10,2015-09,2015-10,2013-09,2014-08,2014-09,101.3,101.6,-0.3,1.382967,1.382967,2.7131879865288804,0.934123473401162,2.2409353604734488,1.5875294169373053
177,165,2014-10,2015-09,2015-10,2013-10,2014-09,2014-10,101.3,101.6,-0.3,1.580749,1.580749,2.307743284490055,1.0677150983757482,1.9060616347948194,1.486888366585284
178,162,2014-11,2015-10,2015-11,2013-07,2014-06,2014-07,101.5,102.3,-0.8,1.795332,1.795332,3.3487769430507774,1.212654939523687,2.765894845208061,1.989274892365874
178,163,2014-11,2015-10,2015-11,2013-08,2014-07,2014-08,101.5,102.0,-0.5,1.630238,1.630238,3.2740450502859018,1.101142386644485,2.704170651424433,1.9026565190344589
178,164,2014-11,2015-10,2015-11,2013-09,2014-08,2014-09,101.5,101.6,-0.1,1.589557,1.589557,2.93413986272405,1.073664451869879,2.423428750090054,1.7485466009799664
178,165,2014-11,2015-10,2015-11,2013-10,2014-09,2014-10,101.5,101.6,-0.1,1.38523,1.38523,2.4237990411063053,0.9356520141547061,2.001916934935884,1.468784474545295
178,166,2014-11,2015-10,2015-11,2013-11,2014-10,2014-11,101.5,101.4,0.1,1.624676,1.624676,2.087223469424478,1.0973855401260524,1.7239251025238893,1.4106553213249708
179,162,2014-12,2015-11,2015-12,2013-07,2014-06,2014-07,101.6,102.3,-0.7,1.585238,1.585238,3.178675417082285,1.0707471882752886,2.6254008852222808,1.8480740367487847
179,163,2014-12,2015-11,2015-12,2013-08,2014-07,2014-08,101.6,102.0,-0.4,1.797179,1.797179,3.10044556598525,1.2139024935545295,2.5607875814488854,1.8873450375017073
179,164,2014-12,2015-11,2015-12,2013-09,2014-08,2014-09,101.6,101.6,0.0,1.632945,1.632945,2.79938394483742,1.1029708266886054,2.312128205150098,1.707549515919352
179,165,2014-12,2015-11,2015-12,2013-10,2014-09,2014-10,101.6,101.6,0.0,1.599493,1.599493,2.3566920046289943,1.0803757116697974,1.946490428654253,1.513433070162025
179,166,2014-12,2015-11,2015-12,2013-11,2014-10,2014-11,101.6,101.4,0.2,1.394018,1.394018,2.012605902370298,0.9415878586717839,1.6622953351231664,1.3019415968974752
179,167,2014-12,2015-11,2015-12,2013-12,2014-11,2014-12,101.6,101.5,0.1,1.648058,1.648058,1.668931554806784,1.1131788851986868,1.3784403270048329,1.2458096061017598
180,162,2015-01,2015-12,2016-01,2013-07,2014-06,2014-07,101.8,102.3,-0.5,1.647311,1.647311,3.0934249937876084,1.112674324905758,2.5549889974338575,1.8338316611698078
180,163,2015-01,2015-12,2016-01,2013-08,2014-07,2014-08,101.8,102.0,-0.2,1.605184,1.605184,3.0135999761324452,1.0842196910902218,2.48905817892735,1.786638935008786
180,164,2015-01,2015-12,2016-01,2013-09,2014-08,2014-09,101.8,101.6,0.2,1.809094,1.809094,2.7341094677898186,1.2219504666338399,2.2582152862964655,1.7400828764651526
180,165,2015-01,2015-12,2016-01,2013-10,2014-09,2014-10,101.8,101.6,0.2,1.696085,1.696085,2.3293109787376056,1.145618667244851,1.9238752949330722,1.5347469810889616
180,166,2015-01,2015-12,2016-01,2013-11,2014-10,2014-11,101.8,101.4,0.4,1.6916,1.6916,1.9842278707764585,1.142589279140721,1.6388567327207484,1.3907230059307347
180,167,2015-01,2015-12,2016-01,2013-12,2014-11,2014-12,101.8,101.5,0.3,1.490279,1.490279,1.6722028082168157,1.0066072406766107,1.38114219192389,1.1938747163002503
180,168,2015-01,2015-12,2016-01,2014-01,2014-12,2015-01,101.8,100.8,1.0,1.69602,1.69602,1.4330482563851104,1.1455747630694288,1.1836144516866602,1.1645946073780444
181,162,2015-02,2016-01,2016-02,2013-07,2014-06,2014-07,102.3,102.3,0.0,1.670569,1.670569,2.7787865351858376,1.128383914320664,2.2951159436143835,1.7117499289675238
181,163,2015-02,2016-01,2016-02,2013-08,2014-07,2014-08,102.3,102.0,0.3,1.686708,1.686708,2.69654862127466,1.1392849833535632,2.2271922132388484,1.6832385982962057
181,164,2015-02,2016-01,2016-02,2013-09,2014-08,2014-09,102.3,101.6,0.7,1.692533,1.692533,2.459504852578839,1.1432194729202425,2.031407857017389,1.5873136649688155
181,165,2015-02,2016-01,2016-02,2013-10,2014-09,2014-10,102.3,101.6,0.7,1.789157,1.789157,2.139372692540488,1.2084840428585808,1.7669973255626603,1.4877406842106207
181,166,2015-02,2016-01,2016-02,2013-11,2014-10,2014-11,102.3,101.4,0.9,1.556699,1.556699,1.7992329099748625,1.0514705534695443,1.4860616624093594,1.2687661079394519
181,167,2015-02,2016-01,2016-02,2013-12,2014-11,2014-12,102.3,101.5,0.8,1.56378,1.56378,1.5697539134893284,1.0562534067951506,1.2965253677391553,1.176389387267153
181,168,2015-02,2016-01,2016-02,2014-01,2014-12,2015-01,102.3,100.8,1.5,1.405093,1.405093,1.3057790130506324,0.9490684547148693,1.078497464177879,1.0137829594463743
181,169,2015-02,2016-01,2016-02,2014-02,2015-01,2015-02,102.3,101.4,0.9,1.691865,1.691865,1.8558511754586409,1.1427682730866728,1.53282505433105,1.3377966637088614
