sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,selection_method
185,162,2015-06,2016-05,2016-06,2013-07,2014-06,2014-07,101.9,102.3,-0.4,1.726193,1.726193,1.9826435479299411,1.2450897125325617,1.6979436437121138,1.4715166781223377,small,closed50_delta_stratified_gap12_hybrid_ablation
186,163,2015-07,2016-06,2016-07,2013-08,2014-07,2014-08,101.8,102.0,-0.2,1.723137,1.723137,1.8479517034746995,1.24288544327559,1.5825930243880195,1.4127392338318048,small,closed50_delta_stratified_gap12_hybrid_ablation
186,162,2015-07,2016-06,2016-07,2013-07,2014-06,2014-07,101.8,102.3,-0.5,1.928923,1.928923,1.9287493418891781,1.3913172997268826,1.651788436097831,1.5215528679123569,small,closed50_delta_stratified_gap12_hybrid_ablation
187,164,2015-08,2016-07,2016-08,2013-09,2014-08,2014-09,101.3,101.6,-0.3,1.694097,1.694097,1.587729288699858,1.2219391149959913,1.3597375365320792,1.2908383257640352,small,closed50_delta_stratified_gap12_hybrid_ablation
187,162,2015-08,2016-07,2016-08,2013-07,2014-06,2014-07,101.3,102.3,-1.0,1.846517,1.846517,1.9524187884872648,1.3318784867720401,1.6720590422001564,1.5019687644860982,small,closed50_delta_stratified_gap12_hybrid_ablation
188,164,2015-09,2016-08,2016-09,2013-09,2014-08,2014-09,101.9,101.6,0.3,1.778225,1.778225,2.060112688790569,1.2826199932847686,1.7642885171743554,1.523454255229562,medium,closed50_delta_stratified_gap12_hybrid_ablation
188,165,2015-09,2016-08,2016-09,2013-10,2014-09,2014-10,101.9,101.6,0.3,1.55414,1.55414,1.4668393397620922,1.1209892091066036,1.2562069141961199,1.1885980616513616,medium,closed50_delta_stratified_gap12_hybrid_ablation
188,162,2015-09,2016-08,2016-09,2013-07,2014-06,2014-07,101.9,102.3,-0.4,1.66794,1.66794,2.534017042257984,1.2030722724061336,2.1701420482024805,1.6866071603043071,small,closed50_delta_stratified_gap12_hybrid_ablation
188,163,2015-09,2016-08,2016-09,2013-08,2014-07,2014-08,101.9,102.0,-0.1,1.775411,1.775411,2.469309058741884,1.2805902767634605,2.1147258795102792,1.69765807813687,small,closed50_delta_stratified_gap12_hybrid_ablation
189,165,2015-10,2016-09,2016-10,2013-10,2014-09,2014-10,102.1,101.6,0.5,1.74317,1.74317,1.406122544620496,1.2573350918439512,1.204208814747087,1.2307719532955192,large,closed50_delta_stratified_gap12_hybrid_ablation
189,164,2015-10,2016-09,2016-10,2013-09,2014-08,2014-09,102.1,101.6,0.5,1.767028,1.767028,1.6474714635011918,1.2745436834450072,1.41090096733202,1.3427223253885137,large,closed50_delta_stratified_gap12_hybrid_ablation
189,163,2015-10,2016-09,2016-10,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.663143,1.663143,1.888289993450669,1.1996122332616008,1.6171388927739052,1.408375563017753,medium,closed50_delta_stratified_gap12_hybrid_ablation
189,162,2015-10,2016-09,2016-10,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.47707,1.47707,1.9693222874357914,1.065399211843908,1.6865352644268454,1.3759672381353767,small,closed50_delta_stratified_gap12_hybrid_ablation
190,164,2015-11,2016-10,2016-11,2013-09,2014-08,2014-09,102.3,101.6,0.7,1.694246,1.694246,1.4759036695361547,1.2220465875481146,1.2639696414601553,1.243008114504135,large,closed50_delta_stratified_gap12_hybrid_ablation
190,165,2015-11,2016-10,2016-11,2013-10,2014-09,2014-10,102.3,101.6,0.7,1.717284,1.717284,1.4109629502575811,1.2386637194663446,1.2083541569560072,1.223508938211176,large,closed50_delta_stratified_gap12_hybrid_ablation
190,163,2015-11,2016-10,2016-11,2013-08,2014-07,2014-08,102.3,102.0,0.3,1.465189,1.465189,1.629942514710596,1.0568295380735941,1.3958891074285982,1.226359322751096,medium,closed50_delta_stratified_gap12_hybrid_ablation
190,162,2015-11,2016-10,2016-11,2013-07,2014-06,2014-07,102.3,102.3,0.0,1.029295,1.029295,1.7145066887698264,0.7424225539445491,1.4683101949102846,1.105366374427417,small,closed50_delta_stratified_gap12_hybrid_ablation
191,164,2015-12,2016-11,2016-12,2013-09,2014-08,2014-09,102.1,101.6,0.5,1.521278,1.521278,1.3859637776060696,1.097286101671198,1.1869447682910532,1.1421154349811258,large,closed50_delta_stratified_gap12_hybrid_ablation
191,166,2015-12,2016-11,2016-12,2013-11,2014-10,2014-11,102.1,101.4,0.7,1.690495,1.690495,1.316119652869714,1.2193410201453332,1.1271299882865733,1.1732355042159532,large,closed50_delta_stratified_gap12_hybrid_ablation
191,163,2015-12,2016-11,2016-12,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.030495,1.030495,1.423467820339654,0.7432881046999044,1.2190633763179395,0.9811757405089219,medium,closed50_delta_stratified_gap12_hybrid_ablation
191,162,2015-12,2016-11,2016-12,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.058107,1.058107,1.5097385973299684,0.7632044275806305,1.2929460051857211,1.0280752163831757,small,closed50_delta_stratified_gap12_hybrid_ablation
192,164,2016-01,2016-12,2017-01,2013-09,2014-08,2014-09,102.5,101.6,0.9,1.034737,1.034737,1.1977028475104903,0.7463478266200856,1.025717375727791,0.8860326011739383,large,closed50_delta_stratified_gap12_hybrid_ablation
192,163,2016-01,2016-12,2017-01,2013-08,2014-07,2014-08,102.5,102.0,0.5,1.004861,1.004861,1.3565939932644224,0.7247984979809224,1.1617923707800824,0.9432954343805025,large,closed50_delta_stratified_gap12_hybrid_ablation
192,162,2016-01,2016-12,2017-01,2013-07,2014-06,2014-07,102.5,102.3,0.2,1.025601,1.025601,1.4404133579914378,0.739758100202647,1.2335756006535603,0.9866668504281036,medium,closed50_delta_stratified_gap12_hybrid_ablation
193,165,2016-02,2017-01,2017-02,2013-10,2014-09,2014-10,100.8,101.6,-0.8,1.19325,1.19325,1.6502319216806056,0.8606820323564509,1.4132650344505713,1.1369735334035111,small,closed50_delta_stratified_gap12_hybrid_ablation
193,164,2016-02,2017-01,2017-02,2013-09,2014-08,2014-09,100.8,101.6,-0.8,1.17891,1.17891,1.3251067512639971,0.8503387008299548,1.134826574296661,0.9925826375633079,small,closed50_delta_stratified_gap12_hybrid_ablation
194,168,2016-03,2017-02,2017-03,2014-01,2014-12,2015-01,100.9,100.8,0.1,1.426104,1.426104,1.1652093225548745,1.0286378286793751,0.9978897946087374,1.0132638116440562,medium,closed50_delta_stratified_gap12_hybrid_ablation
194,164,2016-03,2017-02,2017-03,2013-09,2014-08,2014-09,100.9,101.6,-0.7,1.010493,1.010493,2.405627159908393,0.7288608161927235,2.060188453730068,1.3945246349613956,small,closed50_delta_stratified_gap12_hybrid_ablation
194,167,2016-03,2017-02,2017-03,2013-12,2014-11,2014-12,100.9,101.5,-0.6,1.239615,1.239615,1.0508484460131093,0.8941247496664924,0.8999506952602057,0.897037722463349,small,closed50_delta_stratified_gap12_hybrid_ablation
195,168,2016-04,2017-03,2017-04,2014-01,2014-12,2015-01,101.2,100.8,0.4,1.154632,1.154632,1.0822505620930314,0.8328271664645245,0.9268435895743063,0.8798353780194155,medium,closed50_delta_stratified_gap12_hybrid_ablation
195,170,2016-04,2017-03,2017-04,2014-03,2015-02,2015-03,101.2,101.4,-0.2,1.158887,1.158887,0.8296705542327398,0.8358962651845552,0.7105330887165434,0.7732146769505492,small,closed50_delta_stratified_gap12_hybrid_ablation
195,163,2016-04,2017-03,2017-04,2013-08,2014-07,2014-08,101.2,102.0,-0.8,1.355503,1.355503,2.9271815662180463,0.9777138712803405,2.506849675293639,1.7422817732869897,small,closed50_delta_stratified_gap12_hybrid_ablation
196,168,2016-05,2017-04,2017-05,2014-01,2014-12,2015-01,101.5,100.8,0.7,0.909317,0.909317,0.832660800961353,0.6558833468395315,0.7130939476421333,0.6844886472408325,large,closed50_delta_stratified_gap12_hybrid_ablation
196,173,2016-05,2017-04,2017-05,2014-06,2015-05,2015-06,101.5,101.4,0.1,1.349242,1.349242,0.38821849645628603,0.9731978602142742,0.332471829904907,0.6528348450595907,medium,closed50_delta_stratified_gap12_hybrid_ablation
196,166,2016-05,2017-04,2017-05,2013-11,2014-10,2014-11,101.5,101.4,0.1,0.884643,0.884643,1.39613366559094,0.6380861807248337,1.1956542999056512,0.9168702403152424,medium,closed50_delta_stratified_gap12_hybrid_ablation
196,162,2016-05,2017-04,2017-05,2013-07,2014-06,2014-07,101.5,102.3,-0.8,1.300572,1.300572,2.789052860582593,0.9380925641616545,2.388555714691001,1.6633241394263276,small,closed50_delta_stratified_gap12_hybrid_ablation
196,171,2016-05,2017-04,2017-05,2014-04,2015-03,2015-04,101.5,101.5,0.0,1.183514,1.183514,0.33365751914761216,0.8536595305613348,0.28574559678412753,0.5697025636727312,small,closed50_delta_stratified_gap12_hybrid_ablation
197,168,2016-06,2017-05,2017-06,2014-01,2014-12,2015-01,101.5,100.8,0.7,0.889347,0.889347,0.7764369929125721,0.6414791396858266,0.664943659809814,0.6532113997478203,large,closed50_delta_stratified_gap12_hybrid_ablation
197,170,2016-06,2017-05,2017-06,2014-03,2015-02,2015-03,101.5,101.4,0.1,1.105703,1.105703,0.32554512456382734,0.7975350557072073,0.2787981105185284,0.5381665831128678,medium,closed50_delta_stratified_gap12_hybrid_ablation
197,173,2016-06,2017-05,2017-06,2014-06,2015-05,2015-06,101.5,101.4,0.1,1.488252,1.488252,0.5700113900734625,1.0734647022992272,0.48815997087790275,0.780812336588565,medium,closed50_delta_stratified_gap12_hybrid_ablation
197,167,2016-06,2017-05,2017-06,2013-12,2014-11,2014-12,101.5,101.5,0.0,0.886607,0.886607,1.0058114785472312,0.6395027987944321,0.8613808612017341,0.7504418299980831,small,closed50_delta_stratified_gap12_hybrid_ablation
197,165,2016-06,2017-05,2017-06,2013-10,2014-09,2014-10,101.5,101.6,-0.1,1.307226,1.307226,1.690394385070836,0.9428920431000998,1.44766032426475,1.195276183682425,small,closed50_delta_stratified_gap12_hybrid_ablation
198,168,2016-07,2017-06,2017-07,2014-01,2014-12,2015-01,101.4,100.8,0.6,0.90255,0.90255,0.8627077699028128,0.6510023618716236,0.7388262886775324,0.694914325274578,large,closed50_delta_stratified_gap12_hybrid_ablation
