evaluation_index,gap_months,k_references,level_weight,distance_power,max_pairs_per_bin,shape_weight,fitness,val_mae,val_rmse,validation_block_rmse_std,selected_alpha,num_train_pairs,num_train_pair_targets
328,1,5,0.041,0.654,1,0.959,0.4520166779032874,0.35304854906951594,0.44679092931184045,0.05225748591446977,100.0,92,38
344,1,5,0.042,0.674,1,0.958,0.45207605275362944,0.35318600346499807,0.44686002664265734,0.052160261109721114,100.0,92,38
342,1,5,0.043,0.656,1,0.957,0.45234344946265465,0.3535999307395141,0.44708751567611205,0.052559337865426034,100.0,92,38
327,1,5,0.022,0.617,1,0.978,0.4530939175804712,0.35573058405107866,0.44811618986415724,0.04977727716313961,100.0,92,38
340,1,4,0.032,0.511,1,0.968,0.454833708795178,0.358421053679392,0.4483716424540456,0.06462066341132386,100.0,92,38
337,1,4,0.031,0.626,1,0.969,0.45520415838340955,0.3587793946287611,0.4488131617388949,0.06390996644514647,100.0,92,38
312,1,5,0.013,0.626,1,0.987,0.455722448497983,0.36037790148048493,0.4505259712897846,0.05196477208198365,100.0,92,38
332,1,5,0.015,0.641,1,0.985,0.4557228751662045,0.3603740431839169,0.4505361965596485,0.05186678606556012,100.0,92,38
279,1,5,0.014,0.653,1,0.986,0.4557858418692344,0.36044961874917036,0.4505988491846612,0.051869926845731676,100.0,92,38
276,1,5,0.013,0.646,1,0.987,0.4557876020553084,0.36045407783613603,0.450595731038921,0.05191871016387401,100.0,92,38
280,1,5,0.014,0.657,1,0.986,0.4557989686981238,0.36046475238416664,0.45061292961919625,0.05186039078927548,100.0,92,38
293,1,5,0.011,0.594,1,0.989,0.45685852644439073,0.36193593109002886,0.4516776603137577,0.051808661306330335,100.0,92,38
324,1,5,0.012,0.618,1,0.988,0.45690506138838655,0.3619888646402444,0.45173259253496356,0.051724688534229825,100.0,92,38
336,1,5,0.051,0.644,1,0.949,0.45736528680631283,0.35554070187315445,0.45158086169958345,0.05784425106729397,100.0,92,38
334,1,4,0.017,0.5,1,0.983,0.45810920377052694,0.3639711497905305,0.4512679194794955,0.06841284291031448,100.0,92,38
284,1,6,0.018,0.701,1,0.982,0.45818360069197384,0.3513185801175054,0.45221498492252293,0.05968615769450899,100.0,92,38
296,1,7,0.014,0.721,1,0.986,0.45878751039170484,0.3510228101374635,0.4523363347306672,0.06451175661037652,100.0,92,38
78,12,8,0.061,1.163,2,0.9390000000000001,0.4591464378425837,0.3574381551068099,0.4510998786441174,0.08046559198466303,100.0,116,27
313,1,5,0.0,0.5,1,1.0,0.45932045681377626,0.3640397692100669,0.45412743015362117,0.051930266601550645,100.0,92,38
289,1,5,0.0,0.688,1,1.0,0.45992002242221985,0.3647511703079377,0.4547594472419868,0.051605751802330374,100.0,92,38
301,1,4,0.013,0.598,1,0.987,0.4599268084304522,0.36523939102676545,0.45300715092685223,0.06919657503599988,100.0,92,38
320,1,4,0.013,0.613,1,0.987,0.459973932664896,0.3652766621982538,0.45306447041156395,0.06909462253332056,100.0,92,38
323,1,4,0.01,0.5,1,0.99,0.46004256101667995,0.3655233126370449,0.4530611027358573,0.06981458280822622,100.0,92,38
292,1,4,0.011,0.513,1,0.989,0.4600580582351877,0.36553212317931116,0.4530856755351471,0.06972382700040555,100.0,92,38
303,1,5,0.062,0.701,1,0.938,0.4600681234266762,0.3603780988962345,0.45429228283430617,0.05775840592370041,100.0,92,38
