sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,selection_method,search_distance
12,0,2014-07,2015-06,2015-07,2013-07,2014-06,2014-07,100.3,100.1,0.2,0.759115,0.759115,1.5145337128855059,0.5225718203671629,1.2922298377293402,0.9074008290482516,medium,ssa_delta_stratified_gap1_max1,0.5541277990790121
13,0,2014-08,2015-07,2015-08,2013-07,2014-06,2014-07,100.5,100.1,0.4,1.008067,1.008067,1.320160724651415,0.6939494111459592,1.1263869958647206,0.9101682035053399,large,ssa_delta_stratified_gap1_max1,0.7116793521194285
13,1,2014-08,2015-07,2015-08,2013-08,2014-07,2014-08,100.5,100.2,0.3,0.777135,0.777135,1.210763796016799,0.5349767184432335,1.0330473929659074,0.7840120557045704,medium,ssa_delta_stratified_gap1_max1,0.5553976160986631
14,0,2014-09,2015-08,2015-09,2013-07,2014-06,2014-07,100.1,100.1,0.0,1.615897,1.615897,1.1310027530950224,1.1123772245520605,0.9649937084060829,1.0386854664790717,medium,ssa_delta_stratified_gap1_max1,1.1063345003900753
14,2,2014-09,2015-08,2015-09,2013-09,2014-08,2014-09,100.1,100.5,-0.4,0.786265,0.786265,0.4854795020139973,0.5412617750156266,0.41422062300167134,0.477741199008649,small,ssa_delta_stratified_gap1_max1,0.5360530877830544
15,0,2014-10,2015-09,2015-10,2013-07,2014-06,2014-07,99.7,100.1,-0.4,1.649812,1.649812,1.3734832615475783,1.1357241789499481,1.1718828290801908,1.1538035040150696,small,ssa_delta_stratified_gap1_max1,1.137206683605288
16,3,2014-11,2015-10,2015-11,2013-10,2014-09,2014-10,100.0,100.0,0.0,1.075006,1.075006,1.4756402459844207,0.740029958999127,1.2590451697389748,0.999537564369051,medium,ssa_delta_stratified_gap1_max1,0.7613095826394608
16,2,2014-11,2015-10,2015-11,2013-09,2014-08,2014-09,100.0,100.5,-0.5,1.597701,1.597701,1.5398013397166361,1.0998511687589319,1.313788672004207,1.2068199203815695,small,ssa_delta_stratified_gap1_max1,1.1086226063919882
17,0,2014-12,2015-11,2015-12,2013-07,2014-06,2014-07,100.5,100.1,0.4,1.206846,1.206846,1.5145337128855059,0.8307881034136188,1.2922298377293402,1.0615089705714795,large,ssa_delta_stratified_gap1_max1,0.8497072145205633
17,5,2014-12,2015-11,2015-12,2013-12,2014-11,2014-12,100.5,100.3,0.2,0.862348,0.862348,0.3468798202877734,0.5936370169868627,0.29596465900256813,0.44480083799471537,medium,ssa_delta_stratified_gap1_max1,0.5814324503095066
18,0,2015-01,2015-12,2016-01,2013-07,2014-06,2014-07,100.5,100.1,0.4,1.270091,1.270091,1.4846828912337051,0.8743257160008041,1.2667605318360418,1.0705431239184229,large,ssa_delta_stratified_gap1_max1,0.8904155434500488
18,1,2015-01,2015-12,2016-01,2013-08,2014-07,2014-08,100.5,100.2,0.3,1.219497,1.219497,1.3201607246506644,0.8394970027232951,1.1263869958640802,0.9829419992936876,medium,ssa_delta_stratified_gap1_max1,0.8512594924420672
19,2,2015-02,2016-01,2016-02,2013-09,2014-08,2014-09,101.6,100.5,1.1,1.234668,1.234668,0.5655013765473421,0.8499406602544863,0.4824968542028972,0.6662187572286917,large,ssa_delta_stratified_gap1_max1,0.8348754642063712
20,8,2015-03,2016-02,2016-03,2014-03,2015-02,2015-03,99.6,99.5,0.1,0.464866,0.464866,1.3201607246511615,0.3200119505566371,1.1263869958645043,0.7231994732105707,medium,ssa_delta_stratified_gap1_max1,0.3530733274142597
20,6,2015-03,2016-02,2016-03,2014-01,2014-12,2015-01,99.6,100.3,-0.7,1.548944,1.548944,2.296298172231289,1.0662870391532178,1.959246591366528,1.512766815259873,small,ssa_delta_stratified_gap1_max1,1.1028983807939636
21,4,2015-04,2016-03,2016-04,2013-11,2014-10,2014-11,99.8,99.8,0.0,1.287849,1.287849,1.320160724650918,0.8865502542935266,1.1263869958642965,1.0064686250789117,medium,ssa_delta_stratified_gap1_max1,0.8963835606979281
21,0,2015-04,2016-03,2016-04,2013-07,2014-06,2014-07,99.8,100.1,-0.3,1.680879,1.680879,0.4556934571347115,1.1571105811990758,0.3888065859198384,0.7729585835594571,small,ssa_delta_stratified_gap1_max1,1.1256101173926272
22,8,2015-05,2016-04,2016-05,2014-03,2015-02,2015-03,99.5,99.5,0.0,1.48528,1.48528,2.513257284168489,1.0224609885918994,2.14436035649914,1.5834106725455195,medium,ssa_delta_stratified_gap1_max1,1.0684588626760962
22,6,2015-05,2016-04,2016-05,2014-01,2014-12,2015-01,99.5,100.3,-0.8,1.528407,1.528407,1.5398013397168846,1.0521494480439912,1.3137886720044187,1.182969060024205,small,ssa_delta_stratified_gap1_max1,1.0628766562263687
23,8,2015-06,2016-05,2016-06,2014-03,2015-02,2015-03,99.9,99.5,0.4,1.69732,1.69732,2.714576819221314,1.168428501802221,2.3161301282115274,1.7422793150068743,large,ssa_delta_stratified_gap1_max1,1.2154842684850025
23,4,2015-06,2016-05,2016-06,2013-11,2014-10,2014-11,99.9,99.8,0.1,1.274612,1.274612,1.0126029852671643,0.8774379548577361,0.8639727067171288,0.8707053307874324,medium,ssa_delta_stratified_gap1_max1,0.8768858796839711
23,6,2015-06,2016-05,2016-06,2014-01,2014-12,2015-01,99.9,100.3,-0.4,1.29895,1.29895,1.4756402459845825,0.8941921396177474,1.259045169739113,1.0766186546784302,small,ssa_delta_stratified_gap1_max1,0.9091511138527233
24,9,2015-07,2016-06,2016-07,2014-04,2015-03,2015-04,100.2,99.8,0.4,1.682168,1.682168,0.9042722371592512,1.1579979237973033,0.7715427899331178,0.9647703568652105,large,ssa_delta_stratified_gap1_max1,1.1421532633088716
24,0,2015-07,2016-06,2016-07,2013-07,2014-06,2014-07,100.2,100.1,0.1,0.922684,0.922684,0.6697321255599571,0.6351720852619898,0.5714285714285019,0.6033003283452458,medium,ssa_delta_stratified_gap1_max1,0.6325586011948168
24,7,2015-07,2016-06,2016-07,2014-02,2015-01,2015-02,100.2,101.2,-1.0,1.22089,1.22089,1.939396653329196,0.8404559385179657,1.6547312227534874,1.2475935806357266,small,ssa_delta_stratified_gap1_max1,0.8738412251716221
25,8,2015-08,2016-07,2016-08,2014-03,2015-02,2015-03,100.1,99.5,0.6,1.28336,1.28336,1.5998747210528894,0.8834600441124234,1.3650444579636363,1.1242522510380297,large,ssa_delta_stratified_gap1_max1,0.9032050050803231
25,9,2015-08,2016-07,2016-08,2014-04,2015-03,2015-04,100.1,99.8,0.3,1.504504,1.504504,1.1759586744880295,1.0356947155960272,1.0033509813491712,1.019522848472599,medium,ssa_delta_stratified_gap1_max1,1.034368622491906
25,12,2015-08,2016-07,2016-08,2014-07,2015-06,2015-07,100.1,100.3,-0.2,1.426354,1.426354,0.7354134277600795,0.981896558845477,0.6274691453436315,0.8046828520945543,small,ssa_delta_stratified_gap1_max1,0.9673650348919013
26,5,2015-09,2016-08,2016-09,2013-12,2014-11,2014-12,100.7,100.3,0.4,1.637666,1.637666,0.4854795020141942,1.1273629196806942,0.4142206230018393,0.7707917713412668,large,ssa_delta_stratified_gap1_max1,1.0981240855168612
26,2,2015-09,2016-08,2016-09,2013-09,2014-08,2014-09,100.7,100.5,0.2,0.936496,0.936496,1.0160169621847142,0.6446802124665784,0.8668855787124125,0.7557828955894954,medium,ssa_delta_stratified_gap1_max1,0.6537906324826575
26,7,2015-09,2016-08,2016-09,2014-02,2015-01,2015-02,100.7,101.2,-0.5,1.347386,1.347386,1.0495281367063343,0.9275352940690543,0.8954779693906557,0.911506631729855,small,ssa_delta_stratified_gap1_max1,0.92622094375724
27,8,2015-10,2016-09,2016-10,2014-03,2015-02,2015-03,99.9,99.5,0.4,1.197162,1.197162,1.1303402964491094,0.8241216753909402,0.9644284874164358,0.8942750814036879,large,ssa_delta_stratified_gap1_max1,0.8298742546839855
27,10,2015-10,2016-09,2016-10,2014-05,2015-04,2015-05,99.9,99.8,0.1,1.271056,1.271056,1.5223172671574703,0.874990018256265,1.2988709187354905,1.0869304684958778,medium,ssa_delta_stratified_gap1_max1,0.8923691351759132
27,12,2015-10,2016-09,2016-10,2014-07,2015-06,2015-07,99.9,100.3,-0.4,1.678499,1.678499,1.4628027700670028,1.1554721984343117,1.2480919837646502,1.201782091099481,small,ssa_delta_stratified_gap1_max1,1.1592696096328556
28,15,2015-11,2016-10,2016-11,2014-10,2015-09,2015-10,100.1,99.7,0.4,1.326662,1.326662,1.2107637960167934,0.9132689728854536,1.0330473929659028,0.9731581829256781,large,ssa_delta_stratified_gap1_max1,0.9181798881087521
