sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,target_gap_months_actual,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,sample_weight,selection_method,search_distance
12,0,2014-07,2015-06,2015-07,2013-07,2014-06,2014-07,100.3,100.1,0.20000000000000284,0.759114956714234,12,0.759114956714234,1.5145337128855059,0.5225719602686079,1.2922298377293402,0.907400898998974,medium,0.5,all_target_gap_pairs_balanced,0.5541279332444978
13,0,2014-08,2015-07,2015-08,2013-07,2014-06,2014-07,100.5,100.1,0.4000000000000057,1.0080666034388128,13,1.0080666034388128,1.320160724651415,0.6939493635068039,1.1263869958647206,0.9101681796857622,large,0.25,all_target_gap_pairs_balanced,0.7116793064334785
13,1,2014-08,2015-07,2015-08,2013-08,2014-07,2014-08,100.5,100.2,0.29999999999999716,0.7771348063994127,12,0.7771348063994127,1.210763796016799,0.5349767588968535,1.0330473929659074,0.7840120759313804,medium,0.25,all_target_gap_pairs_balanced,0.5553976548936848
14,0,2014-09,2015-08,2015-09,2013-07,2014-06,2014-07,100.1,100.1,0.0,1.615896947907731,14,1.615896947907731,1.1310027530950224,1.1123775499236845,0.9649937084060829,1.0386856291648838,medium,0.125,all_target_gap_pairs_balanced,1.106334812421463
14,1,2014-09,2015-08,2015-09,2013-08,2014-07,2014-08,100.1,100.2,-0.10000000000000853,1.03423098174825,13,1.03423098174825,0.9042722371590397,0.7119608258570566,0.7715427899329372,0.741751807894997,medium,0.125,all_target_gap_pairs_balanced,0.7144036863841676
14,2,2014-09,2015-08,2015-09,2013-09,2014-08,2014-09,100.1,100.5,-0.4000000000000057,0.7862647063462012,12,0.7862647063462012,0.4854795020139973,0.5412617486339817,0.41422062300167134,0.47774118581782654,small,0.25,all_target_gap_pairs_balanced,0.536053062483057
15,0,2014-10,2015-09,2015-10,2013-07,2014-06,2014-07,99.7,100.1,-0.3999999999999915,1.649811663434978,15,1.649811663434978,1.3734832615475783,1.1357243160732249,1.1718828290801908,1.1538035725767077,small,0.125,all_target_gap_pairs_balanced,1.1372068151065104
15,1,2014-10,2015-09,2015-10,2013-08,2014-07,2014-08,99.7,100.2,-0.5,1.6095427561678055,14,1.6095427561678055,1.3394642511201997,1.108003347565944,1.1428571428572474,1.1254302452115956,small,0.125,all_target_gap_pairs_balanced,1.1094323531728876
15,2,2014-10,2015-09,2015-10,2013-09,2014-08,2014-09,99.7,100.5,-0.7999999999999972,1.0614828683751392,13,1.0614828683751392,0.8508339717253113,0.7307209249562399,0.725948214861775,0.7283345699090074,small,0.125,all_target_gap_pairs_balanced,0.7305252438423668
15,3,2014-10,2015-09,2015-10,2013-10,2014-09,2014-10,99.7,100.0,-0.29999999999999716,0.8452619972052873,12,0.8452619972052873,0.6937596405754091,0.5818752679199359,0.5919293180050187,0.5869022929624773,small,0.125,all_target_gap_pairs_balanced,0.5822874839734243
16,0,2014-11,2015-10,2015-11,2013-07,2014-06,2014-07,100.0,100.1,-0.09999999999999432,1.4889150696835785,16,1.4889150696835785,1.8666504787389342,1.0249636893018275,1.5926627612947424,1.308813225298285,medium,0.08333333333333333,all_target_gap_pairs_balanced,1.048239351253537
