epoch,total_loss,delta_loss,similarity_loss
1,0.7013596296310425,0.6546258330345154,0.23366884887218475
25,0.40379297733306885,0.35920923948287964,0.22291861474514008
50,0.19033661484718323,0.1699303835630417,0.1020311787724495
75,0.10338423401117325,0.08265683799982071,0.1036369651556015
100,0.08142590522766113,0.06267227977514267,0.09376811981201172
125,0.06714921444654465,0.05148068815469742,0.07834263145923615
150,0.05577950179576874,0.041116178035736084,0.07331661880016327
175,0.05334270000457764,0.03922899067401886,0.07056855410337448
200,0.049158670008182526,0.03486450016498566,0.07147084921598434
225,0.04464025795459747,0.03240310773253441,0.06118575111031532
250,0.046732738614082336,0.033151231706142426,0.06790753453969955
275,0.041355982422828674,0.02841569110751152,0.06470145285129547
300,0.04602842032909393,0.03277946636080742,0.06624475866556168
325,0.045885637402534485,0.033809252083301544,0.060381930321455
350,0.038646843284368515,0.02657228335738182,0.060372792184352875
375,0.044132113456726074,0.03169897943735123,0.06216566637158394
400,0.041526589542627335,0.030264031141996384,0.056312788277864456
425,0.04531509056687355,0.032504063099622726,0.06405513733625412
450,0.03820279985666275,0.025421760976314545,0.06390520185232162
475,0.04066608473658562,0.028496509417891502,0.06084788218140602
500,0.04260588809847832,0.030341165140271187,0.0613236203789711
525,0.03934558108448982,0.026710854843258858,0.06317362934350967
550,0.03868229314684868,0.027417287230491638,0.0563250333070755
575,0.03883366286754608,0.027129467576742172,0.058520976454019547
600,0.03935661166906357,0.027376223355531693,0.05990193411707878
