sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance
12,0,2014-07,2015-06,2015-07,2013-07,2014-06,2014-07,100.3,100.1,0.2,0.759115
13,0,2014-08,2015-07,2015-08,2013-07,2014-06,2014-07,100.5,100.1,0.4,1.008067
13,1,2014-08,2015-07,2015-08,2013-08,2014-07,2014-08,100.5,100.2,0.3,0.777135
14,0,2014-09,2015-08,2015-09,2013-07,2014-06,2014-07,100.1,100.1,0.0,1.615897
14,1,2014-09,2015-08,2015-09,2013-08,2014-07,2014-08,100.1,100.2,-0.1,1.034231
14,2,2014-09,2015-08,2015-09,2013-09,2014-08,2014-09,100.1,100.5,-0.4,0.786265
15,0,2014-10,2015-09,2015-10,2013-07,2014-06,2014-07,99.7,100.1,-0.4,1.649812
15,1,2014-10,2015-09,2015-10,2013-08,2014-07,2014-08,99.7,100.2,-0.5,1.609543
15,2,2014-10,2015-09,2015-10,2013-09,2014-08,2014-09,99.7,100.5,-0.8,1.061483
15,3,2014-10,2015-09,2015-10,2013-10,2014-09,2014-10,99.7,100.0,-0.3,0.845262
16,0,2014-11,2015-10,2015-11,2013-07,2014-06,2014-07,100.0,100.1,-0.1,1.488915
16,1,2014-11,2015-10,2015-11,2013-08,2014-07,2014-08,100.0,100.2,-0.2,1.633608
16,2,2014-11,2015-10,2015-11,2013-09,2014-08,2014-09,100.0,100.5,-0.5,1.597701
16,3,2014-11,2015-10,2015-11,2013-10,2014-09,2014-10,100.0,100.0,0.0,1.075006
16,4,2014-11,2015-10,2015-11,2013-11,2014-10,2014-11,100.0,99.8,0.2,0.843906
17,0,2014-12,2015-11,2015-12,2013-07,2014-06,2014-07,100.5,100.1,0.4,1.206846
17,1,2014-12,2015-11,2015-12,2013-08,2014-07,2014-08,100.5,100.2,0.3,1.496502
17,2,2014-12,2015-11,2015-12,2013-09,2014-08,2014-09,100.5,100.5,0.0,1.614264
17,3,2014-12,2015-11,2015-12,2013-10,2014-09,2014-10,100.5,100.0,0.5,1.563055
17,4,2014-12,2015-11,2015-12,2013-11,2014-10,2014-11,100.5,99.8,0.7,1.068329
17,5,2014-12,2015-11,2015-12,2013-12,2014-11,2014-12,100.5,100.3,0.2,0.862348
18,0,2015-01,2015-12,2016-01,2013-07,2014-06,2014-07,100.5,100.1,0.4,1.270091
18,1,2015-01,2015-12,2016-01,2013-08,2014-07,2014-08,100.5,100.2,0.3,1.219497
18,2,2015-01,2015-12,2016-01,2013-09,2014-08,2014-09,100.5,100.5,0.0,1.51102
18,3,2015-01,2015-12,2016-01,2013-10,2014-09,2014-10,100.5,100.0,0.5,1.619203
18,4,2015-01,2015-12,2016-01,2013-11,2014-10,2014-11,100.5,99.8,0.7,1.573463
18,5,2015-01,2015-12,2016-01,2013-12,2014-11,2014-12,100.5,100.3,0.2,1.121009
18,6,2015-01,2015-12,2016-01,2014-01,2014-12,2015-01,100.5,100.3,0.2,0.860548
19,0,2015-02,2016-01,2016-02,2013-07,2014-06,2014-07,101.6,100.1,1.5,1.382721
19,1,2015-02,2016-01,2016-02,2013-08,2014-07,2014-08,101.6,100.2,1.4,1.28018
19,2,2015-02,2016-01,2016-02,2013-09,2014-08,2014-09,101.6,100.5,1.1,1.234668
19,3,2015-02,2016-01,2016-02,2013-10,2014-09,2014-10,101.6,100.0,1.6,1.509173
19,4,2015-02,2016-01,2016-02,2013-11,2014-10,2014-11,101.6,99.8,1.8,1.627346
19,5,2015-02,2016-01,2016-02,2013-12,2014-11,2014-12,101.6,100.3,1.3,1.592819
19,6,2015-02,2016-01,2016-02,2014-01,2014-12,2015-01,101.6,100.3,1.3,1.113765
19,7,2015-02,2016-01,2016-02,2014-02,2015-01,2015-02,101.6,101.2,0.4,0.68231
20,0,2015-03,2016-02,2016-03,2013-07,2014-06,2014-07,99.6,100.1,-0.5,1.647098
20,1,2015-03,2016-02,2016-03,2013-08,2014-07,2014-08,99.6,100.2,-0.6,1.398371
20,2,2015-03,2016-02,2016-03,2013-09,2014-08,2014-09,99.6,100.5,-0.9,1.385021
20,3,2015-03,2016-02,2016-03,2013-10,2014-09,2014-10,99.6,100.0,-0.4,1.307082
20,4,2015-03,2016-02,2016-03,2013-11,2014-10,2014-11,99.6,99.8,-0.2,1.537577
20,5,2015-03,2016-02,2016-03,2013-12,2014-11,2014-12,99.6,100.3,-0.7,1.651905
20,6,2015-03,2016-02,2016-03,2014-01,2014-12,2015-01,99.6,100.3,-0.7,1.548944
20,7,2015-03,2016-02,2016-03,2014-02,2015-01,2015-02,99.6,101.2,-1.6,1.354254
20,8,2015-03,2016-02,2016-03,2014-03,2015-02,2015-03,99.6,99.5,0.1,0.464866
21,0,2015-04,2016-03,2016-04,2013-07,2014-06,2014-07,99.8,100.1,-0.3,1.680879
21,1,2015-04,2016-03,2016-04,2013-08,2014-07,2014-08,99.8,100.2,-0.4,1.653629
21,2,2015-04,2016-03,2016-04,2013-09,2014-08,2014-09,99.8,100.5,-0.7,1.338182
21,3,2015-04,2016-03,2016-04,2013-10,2014-09,2014-10,99.8,100.0,-0.2,1.306496
21,4,2015-04,2016-03,2016-04,2013-11,2014-10,2014-11,99.8,99.8,0.0,1.287849
21,5,2015-04,2016-03,2016-04,2013-12,2014-11,2014-12,99.8,100.3,-0.5,1.528407
21,6,2015-04,2016-03,2016-04,2014-01,2014-12,2015-01,99.8,100.3,-0.5,1.652098
21,7,2015-04,2016-03,2016-04,2014-02,2015-01,2015-02,99.8,101.2,-1.4,1.410409
21,8,2015-04,2016-03,2016-04,2014-03,2015-02,2015-03,99.8,99.5,0.3,1.472378
21,9,2015-04,2016-03,2016-04,2014-04,2015-03,2015-04,99.8,99.8,0.0,0.478996
22,0,2015-05,2016-04,2016-05,2013-07,2014-06,2014-07,99.5,100.1,-0.6,1.616582
22,1,2015-05,2016-04,2016-05,2013-08,2014-07,2014-08,99.5,100.2,-0.7,1.680879
22,2,2015-05,2016-04,2016-05,2013-09,2014-08,2014-09,99.5,100.5,-1.0,1.630585
22,3,2015-05,2016-04,2016-05,2013-10,2014-09,2014-10,99.5,100.0,-0.5,1.293614
22,4,2015-05,2016-04,2016-05,2013-11,2014-10,2014-11,99.5,99.8,-0.3,1.294299
22,5,2015-05,2016-04,2016-05,2013-12,2014-11,2014-12,99.5,100.3,-0.8,1.27718
22,6,2015-05,2016-04,2016-05,2014-01,2014-12,2015-01,99.5,100.3,-0.8,1.528407
22,7,2015-05,2016-04,2016-05,2014-02,2015-01,2015-02,99.5,101.2,-1.7,1.629577
22,8,2015-05,2016-04,2016-05,2014-03,2015-02,2015-03,99.5,99.5,0.0,1.48528
22,9,2015-05,2016-04,2016-05,2014-04,2015-03,2015-04,99.5,99.8,-0.3,1.472378
22,10,2015-05,2016-04,2016-05,2014-05,2015-04,2015-05,99.5,99.8,-0.3,0.476495
23,0,2015-06,2016-05,2016-06,2013-07,2014-06,2014-07,99.9,100.1,-0.2,1.343493
23,1,2015-06,2016-05,2016-06,2013-08,2014-07,2014-08,99.9,100.2,-0.3,1.601065
23,2,2015-06,2016-05,2016-06,2013-09,2014-08,2014-09,99.9,100.5,-0.6,1.650068
23,3,2015-06,2016-05,2016-06,2013-10,2014-09,2014-10,99.9,100.0,-0.1,1.633085
23,4,2015-06,2016-05,2016-06,2013-11,2014-10,2014-11,99.9,99.8,0.1,1.274612
23,5,2015-06,2016-05,2016-06,2013-12,2014-11,2014-12,99.9,100.3,-0.4,1.25922
23,6,2015-06,2016-05,2016-06,2014-01,2014-12,2015-01,99.9,100.3,-0.4,1.29895
23,7,2015-06,2016-05,2016-06,2014-02,2015-01,2015-02,99.9,101.2,-1.3,1.484069
23,8,2015-06,2016-05,2016-06,2014-03,2015-02,2015-03,99.9,99.5,0.4,1.69732
23,9,2015-06,2016-05,2016-06,2014-04,2015-03,2015-04,99.9,99.8,0.1,1.434657
23,10,2015-06,2016-05,2016-06,2014-05,2015-04,2015-05,99.9,99.8,0.1,1.454933
