sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance
12,0,2018-09,2019-08,2019-09,2017-09,2018-08,2018-09,100.9,100.7,0.2,0.481872
13,0,2018-10,2019-09,2019-10,2017-09,2018-08,2018-09,100.9,100.7,0.2,1.279001
13,1,2018-10,2019-09,2019-10,2017-10,2018-09,2018-10,100.9,100.2,0.7,0.475468
14,0,2018-11,2019-10,2019-11,2017-09,2018-08,2018-09,100.4,100.7,-0.3,1.37916
14,1,2018-11,2019-10,2019-11,2017-10,2018-09,2018-10,100.4,100.2,0.2,1.205472
14,2,2018-11,2019-10,2019-11,2017-11,2018-10,2018-11,100.4,99.7,0.7,0.599243
15,0,2018-12,2019-11,2019-12,2017-09,2018-08,2018-09,100.0,100.7,-0.7,1.516511
15,1,2018-12,2019-11,2019-12,2017-10,2018-09,2018-10,100.0,100.2,-0.2,1.317702
15,2,2018-12,2019-11,2019-12,2017-11,2018-10,2018-11,100.0,99.7,0.3,1.202919
15,3,2018-12,2019-11,2019-12,2017-12,2018-11,2018-12,100.0,100.0,0.0,0.60281
16,0,2019-01,2019-12,2020-01,2017-09,2018-08,2018-09,101.4,100.7,0.7,1.6925
16,1,2019-01,2019-12,2020-01,2017-10,2018-09,2018-10,101.4,100.2,1.2,1.530756
16,2,2019-01,2019-12,2020-01,2017-11,2018-10,2018-11,101.4,99.7,1.7,1.327048
16,3,2019-01,2019-12,2020-01,2017-12,2018-11,2018-12,101.4,100.0,1.4,1.178105
16,4,2019-01,2019-12,2020-01,2018-01,2018-12,2019-01,101.4,100.5,0.9,0.540176
17,0,2019-02,2020-01,2020-02,2017-09,2018-08,2018-09,100.8,100.7,0.1,1.462231
17,1,2019-02,2020-01,2020-02,2017-10,2018-09,2018-10,100.8,100.2,0.6,1.558811
17,2,2019-02,2020-01,2020-02,2017-11,2018-10,2018-11,100.8,99.7,1.1,1.509645
17,3,2019-02,2020-01,2020-02,2017-12,2018-11,2018-12,100.8,100.0,0.8,1.437082
17,4,2019-02,2020-01,2020-02,2018-01,2018-12,2019-01,100.8,100.5,0.3,1.259747
17,5,2019-02,2020-01,2020-02,2018-02,2019-01,2019-02,100.8,101.0,-0.2,0.622498
18,0,2019-03,2020-02,2020-03,2017-09,2018-08,2018-09,98.8,100.7,-1.9,1.476902
18,1,2019-03,2020-02,2020-03,2017-10,2018-09,2018-10,98.8,100.2,-1.4,1.460584
18,2,2019-03,2020-02,2020-03,2017-11,2018-10,2018-11,98.8,99.7,-0.9,1.55263
18,3,2019-03,2020-02,2020-03,2017-12,2018-11,2018-12,98.8,100.0,-1.2,1.523673
18,4,2019-03,2020-02,2020-03,2018-01,2018-12,2019-01,98.8,100.5,-1.7,1.464803
18,5,2019-03,2020-02,2020-03,2018-02,2019-01,2019-02,98.8,101.0,-2.2,1.282074
18,6,2019-03,2020-02,2020-03,2018-03,2019-02,2019-03,98.8,99.6,-0.8,0.651988
19,0,2019-04,2020-03,2020-04,2017-09,2018-08,2018-09,99.1,100.7,-1.6,1.555397
19,1,2019-04,2020-03,2020-04,2017-10,2018-09,2018-10,99.1,100.2,-1.1,1.549713
19,2,2019-04,2020-03,2020-04,2017-11,2018-10,2018-11,99.1,99.7,-0.6,1.463759
19,3,2019-04,2020-03,2020-04,2017-12,2018-11,2018-12,99.1,100.0,-0.9,1.425657
19,4,2019-04,2020-03,2020-04,2018-01,2018-12,2019-01,99.1,100.5,-1.4,1.444758
19,5,2019-04,2020-03,2020-04,2018-02,2019-01,2019-02,99.1,101.0,-1.9,1.48584
19,6,2019-04,2020-03,2020-04,2018-03,2019-02,2019-03,99.1,99.6,-0.5,1.400252
19,7,2019-04,2020-03,2020-04,2018-04,2019-03,2019-04,99.1,100.1,-1.0,0.726518
20,0,2019-05,2020-04,2020-05,2017-09,2018-08,2018-09,99.2,100.7,-1.5,1.492139
20,1,2019-05,2020-04,2020-05,2017-10,2018-09,2018-10,99.2,100.2,-1.0,1.608609
20,2,2019-05,2020-04,2020-05,2017-11,2018-10,2018-11,99.2,99.7,-0.5,1.537706
20,3,2019-05,2020-04,2020-05,2017-12,2018-11,2018-12,99.2,100.0,-0.8,1.379957
20,4,2019-05,2020-04,2020-05,2018-01,2018-12,2019-01,99.2,100.5,-1.3,1.392435
20,5,2019-05,2020-04,2020-05,2018-02,2019-01,2019-02,99.2,101.0,-1.8,1.486653
20,6,2019-05,2020-04,2020-05,2018-03,2019-02,2019-03,99.2,99.6,-0.4,1.593084
20,7,2019-05,2020-04,2020-05,2018-04,2019-03,2019-04,99.2,100.1,-0.9,1.321607
20,8,2019-05,2020-04,2020-05,2018-05,2019-04,2019-05,99.2,100.0,-0.8,0.802017
21,0,2019-06,2020-05,2020-06,2017-09,2018-08,2018-09,99.9,100.7,-0.8,1.455356
21,1,2019-06,2020-05,2020-06,2017-10,2018-09,2018-10,99.9,100.2,-0.3,1.542377
21,2,2019-06,2020-05,2020-06,2017-11,2018-10,2018-11,99.9,99.7,0.2,1.59887
21,3,2019-06,2020-05,2020-06,2017-12,2018-11,2018-12,99.9,100.0,-0.1,1.469789
21,4,2019-06,2020-05,2020-06,2018-01,2018-12,2019-01,99.9,100.5,-0.6,1.355406
21,5,2019-06,2020-05,2020-06,2018-02,2019-01,2019-02,99.9,101.0,-1.1,1.427765
21,6,2019-06,2020-05,2020-06,2018-03,2019-02,2019-03,99.9,99.6,0.3,1.567302
21,7,2019-06,2020-05,2020-06,2018-04,2019-03,2019-04,99.9,100.1,-0.2,1.577618
21,8,2019-06,2020-05,2020-06,2018-05,2019-04,2019-05,99.9,100.0,-0.1,1.3247
21,9,2019-06,2020-05,2020-06,2018-06,2019-05,2019-06,99.9,99.9,0.0,0.798324
22,0,2019-07,2020-06,2020-07,2017-09,2018-08,2018-09,100.6,100.7,-0.1,1.585406
22,1,2019-07,2020-06,2020-07,2017-10,2018-09,2018-10,100.6,100.2,0.4,1.462401
22,2,2019-07,2020-06,2020-07,2017-11,2018-10,2018-11,100.6,99.7,0.9,1.546277
22,3,2019-07,2020-06,2020-07,2017-12,2018-11,2018-12,100.6,100.0,0.6,1.583765
22,4,2019-07,2020-06,2020-07,2018-01,2018-12,2019-01,100.6,100.5,0.1,1.458175
22,5,2019-07,2020-06,2020-07,2018-02,2019-01,2019-02,100.6,101.0,-0.4,1.35058
22,6,2019-07,2020-06,2020-07,2018-03,2019-02,2019-03,100.6,99.6,1.0,1.420051
22,7,2019-07,2020-06,2020-07,2018-04,2019-03,2019-04,100.6,100.1,0.5,1.634967
22,8,2019-07,2020-06,2020-07,2018-05,2019-04,2019-05,100.6,100.0,0.6,1.597416
22,9,2019-07,2020-06,2020-07,2018-06,2019-05,2019-06,100.6,99.9,0.7,1.33384
22,10,2019-07,2020-06,2020-07,2018-07,2019-06,2019-07,100.6,100.4,0.2,0.798324
23,0,2019-08,2020-07,2020-08,2017-09,2018-08,2018-09,100.4,100.7,-0.3,1.150095
23,1,2019-08,2020-07,2020-08,2017-10,2018-09,2018-10,100.4,100.2,0.2,1.564047
23,2,2019-08,2020-07,2020-08,2017-11,2018-10,2018-11,100.4,99.7,0.7,1.459652
23,3,2019-08,2020-07,2020-08,2017-12,2018-11,2018-12,100.4,100.0,0.4,1.55999
23,4,2019-08,2020-07,2020-08,2018-01,2018-12,2019-01,100.4,100.5,-0.1,1.592414
23,5,2019-08,2020-07,2020-08,2018-02,2019-01,2019-02,100.4,101.0,-0.6,1.451665
23,6,2019-08,2020-07,2020-08,2018-03,2019-02,2019-03,100.4,99.6,0.8,1.327918
23,7,2019-08,2020-07,2020-08,2018-04,2019-03,2019-04,100.4,100.1,0.3,1.41846
23,8,2019-08,2020-07,2020-08,2018-05,2019-04,2019-05,100.4,100.0,0.4,1.634854
23,9,2019-08,2020-07,2020-08,2018-06,2019-05,2019-06,100.4,99.9,0.5,1.602457
23,10,2019-08,2020-07,2020-08,2018-07,2019-06,2019-07,100.4,100.4,0.0,1.346896
