semantic_pair_id,sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,i_cache_split,i_cache_record_id,i_generation_run_id,i_generation_branch,i_generation_partner_sample_id,i_state_file_sha256,j_cache_split,j_cache_record_id,j_generation_run_id,j_generation_branch,j_generation_partner_sample_id,j_state_file_sha256,state_resolution,derived_from_cache,semantic_pair_simulated_simultaneously
train:12__train:0,12,0,2018-09,2019-08,2019-09,2017-09,2018-08,2018-09,100.9,100.7,0.2,0.481872,train,train:12,train:run:007,target,13,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:13__train:0,13,0,2018-10,2019-09,2019-10,2017-09,2018-08,2018-09,100.9,100.7,0.2,1.279001,train,train:13,train:run:007,reference,12,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:13__train:1,13,1,2018-10,2019-09,2019-10,2017-10,2018-09,2018-10,100.9,100.2,0.7,0.475468,train,train:13,train:run:007,reference,12,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:1,train:run:001,reference,0,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:14__train:0,14,0,2018-11,2019-10,2019-11,2017-09,2018-08,2018-09,100.4,100.7,-0.3,1.37916,train,train:14,train:run:008,target,15,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:14__train:1,14,1,2018-11,2019-10,2019-11,2017-10,2018-09,2018-10,100.4,100.2,0.2,1.205472,train,train:14,train:run:008,target,15,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:1,train:run:001,reference,0,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:14__train:2,14,2,2018-11,2019-10,2019-11,2017-11,2018-10,2018-11,100.4,99.7,0.7,0.599243,train,train:14,train:run:008,target,15,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:2,train:run:002,target,3,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:15__train:0,15,0,2018-12,2019-11,2019-12,2017-09,2018-08,2018-09,100.0,100.7,-0.7,1.516511,train,train:15,train:run:008,reference,14,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:15__train:1,15,1,2018-12,2019-11,2019-12,2017-10,2018-09,2018-10,100.0,100.2,-0.2,1.317702,train,train:15,train:run:008,reference,14,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:1,train:run:001,reference,0,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:15__train:2,15,2,2018-12,2019-11,2019-12,2017-11,2018-10,2018-11,100.0,99.7,0.3,1.202919,train,train:15,train:run:008,reference,14,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:2,train:run:002,target,3,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:15__train:3,15,3,2018-12,2019-11,2019-12,2017-12,2018-11,2018-12,100.0,100.0,0.0,0.60281,train,train:15,train:run:008,reference,14,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:3,train:run:002,reference,2,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:16__train:0,16,0,2019-01,2019-12,2020-01,2017-09,2018-08,2018-09,101.4,100.7,0.7,1.6925,train,train:16,train:run:009,target,17,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:16__train:1,16,1,2019-01,2019-12,2020-01,2017-10,2018-09,2018-10,101.4,100.2,1.2,1.530756,train,train:16,train:run:009,target,17,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:1,train:run:001,reference,0,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:16__train:2,16,2,2019-01,2019-12,2020-01,2017-11,2018-10,2018-11,101.4,99.7,1.7,1.327048,train,train:16,train:run:009,target,17,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:2,train:run:002,target,3,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:16__train:3,16,3,2019-01,2019-12,2020-01,2017-12,2018-11,2018-12,101.4,100.0,1.4,1.178105,train,train:16,train:run:009,target,17,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:3,train:run:002,reference,2,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:16__train:4,16,4,2019-01,2019-12,2020-01,2018-01,2018-12,2019-01,101.4,100.5,0.9,0.540176,train,train:16,train:run:009,target,17,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:4,train:run:003,target,5,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:17__train:0,17,0,2019-02,2020-01,2020-02,2017-09,2018-08,2018-09,100.8,100.7,0.1,1.462231,train,train:17,train:run:009,reference,16,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:17__train:1,17,1,2019-02,2020-01,2020-02,2017-10,2018-09,2018-10,100.8,100.2,0.6,1.558811,train,train:17,train:run:009,reference,16,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:1,train:run:001,reference,0,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:17__train:2,17,2,2019-02,2020-01,2020-02,2017-11,2018-10,2018-11,100.8,99.7,1.1,1.509645,train,train:17,train:run:009,reference,16,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:2,train:run:002,target,3,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:17__train:3,17,3,2019-02,2020-01,2020-02,2017-12,2018-11,2018-12,100.8,100.0,0.8,1.437082,train,train:17,train:run:009,reference,16,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:3,train:run:002,reference,2,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
