pair_id,sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,delta_bin,selection_method,similar_label
672,162,26,2013-07,2014-06,2014-07,2002-03,2003-02,2003-03,102.3,100.6,1.7,1.750802,large,delta_stratified_train_only,0
673,162,98,2013-07,2014-06,2014-07,2008-03,2009-02,2009-03,102.3,98.83,3.47,0.82745,large,delta_stratified_train_only,0
674,162,113,2013-07,2014-06,2014-07,2009-06,2010-05,2010-06,102.3,102.95,-0.65,1.832761,medium,delta_stratified_train_only,0
675,162,31,2013-07,2014-06,2014-07,2002-08,2003-07,2003-08,102.3,100.9,1.4,1.84736,medium,delta_stratified_train_only,0
676,162,122,2013-07,2014-06,2014-07,2010-03,2011-02,2011-03,102.3,105.38,-3.08,1.821664,small,delta_stratified_train_only,0
677,162,89,2013-07,2014-06,2014-07,2007-06,2008-05,2008-06,102.3,107.08,-4.78,1.742226,small,delta_stratified_train_only,0
678,163,9,2013-08,2014-07,2014-08,2000-10,2001-09,2001-10,102.0,99.8,2.2,1.600537,large,delta_stratified_train_only,0
679,163,100,2013-08,2014-07,2014-08,2008-05,2009-04,2009-05,102.0,98.63,3.37,0.852569,large,delta_stratified_train_only,0
680,163,73,2013-08,2014-07,2014-08,2006-02,2007-01,2007-02,102.0,102.7,-0.7,1.653652,medium,delta_stratified_train_only,0
681,163,26,2013-08,2014-07,2014-08,2002-03,2003-02,2003-03,102.0,100.6,1.4,1.742927,medium,delta_stratified_train_only,0
682,163,93,2013-08,2014-07,2014-08,2007-10,2008-09,2008-10,102.0,103.97,-1.97,1.45876,small,delta_stratified_train_only,0
683,163,112,2013-08,2014-07,2014-08,2009-05,2010-04,2010-05,102.0,103.06,-1.06,1.83428,small,delta_stratified_train_only,0
684,164,102,2013-09,2014-08,2014-09,2008-07,2009-06,2009-07,101.6,98.19,3.41,0.586916,large,delta_stratified_train_only,0
685,164,13,2013-09,2014-08,2014-09,2001-02,2002-01,2002-02,101.6,99.2,2.4,1.020778,large,delta_stratified_train_only,0
686,164,51,2013-09,2014-08,2014-09,2004-04,2005-03,2005-04,101.6,102.2,-0.6,1.057782,medium,delta_stratified_train_only,0
687,164,108,2013-09,2014-08,2014-09,2009-01,2009-12,2010-01,101.6,101.53,0.07,1.4679,medium,delta_stratified_train_only,0
