alpha,mae,rmse,model
0.0,3.8010016289734736,15.394387170943014,ordinary_full_212
1e-06,3.4571754468432996,13.264913650043688,ordinary_full_212
0.0001,1.0915849932168311,1.8114060958774592,ordinary_full_212
0.01,0.6374183500328359,0.9133169921379097,ordinary_full_212
0.1,0.448308675129566,0.5770185835344657,ordinary_full_212
1.0,0.39571761193181015,0.4983650851514091,ordinary_full_212
10.0,0.3895689216492634,0.49421276158336563,ordinary_full_212
100.0,0.4269154642848854,0.5442903942402806,ordinary_full_212
0.0,6.271564627617501,30.643634760649824,ordinary_matched_189
1e-06,3.7960561183903456,16.80369511842059,ordinary_matched_189
0.0001,1.8479109368711073,3.643703358205281,ordinary_matched_189
0.01,0.9603051795455637,1.8510585916814986,ordinary_matched_189
0.1,0.5413407681939216,0.7812052210418309,ordinary_matched_189
1.0,0.4081864403149565,0.5176132095762918,ordinary_matched_189
10.0,0.40788287350054114,0.5123568359084397,ordinary_matched_189
100.0,0.43957966894770284,0.5668382532046161,ordinary_matched_189
