model,split,num_targets,mae,rmse,target_scale,window_protocol
单网络光储备池,train,45,0.4455573168009648,0.571500325598025,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
单网络光储备池,test,47,0.6297753059490571,0.7095125226892769,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
Naive（上期值）,train,45,0.4266666666666661,0.5448751131120676,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
Naive（上期值）,test,47,0.3553191489361703,0.4795831523312719,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
线性回归,train,45,0.3360752397267242,0.4418469134442417,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
线性回归,test,47,0.5253165187618123,0.6836850646274185,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
Ridge回归,train,45,0.6520705041378423,0.8401323588183343,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
Ridge回归,test,47,0.9983556518098468,1.091092589425032,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
SVR（RBF）,train,45,0.0637712309484792,0.0650386834876539,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
SVR（RBF）,test,47,1.2626181653312825,1.3690231481422095,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
随机森林,train,45,0.3165809940454254,0.4255732475274499,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
随机森林,test,47,0.7616270142710504,0.8728579411990458,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
梯度提升树,train,45,0.1976983536314956,0.2702820108496516,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
梯度提升树,test,47,0.8746391159339731,0.9873347896985484,同比指数（上年同月=100）,actual序列连续前12个月预测下1个月
